n,objective,profit,rental,arrival,W_final,n_items,n_truck,n_drone,n_rendv,wall_s
50,-47951.11185912992,38933.0,86884.11185912992,1195.1047023264086,46214.0,46,23,23,25,164.4
100,-88493.11165233205,80574.0,169067.11165233207,2325.5448645437696,94430.0,94,47,47,50,685.6
