n,model,objective,profit,rental,arrival,n_items,n_truck,n_drone,n_rendv
50,GAT,-47951.11185912992,38933.0,86884.11185912992,1195.1047023264086,46,23,23,25
50,MLP,-50374.89953841524,33696.0,84070.89953841522,1156.4085218489026,40,18,22,25
100,GAT,-88493.11165233205,80574.0,169067.11165233207,2325.5448645437696,94,47,47,50
100,MLP,-80988.35633455147,67903.0,148891.35633455147,2048.02415865958,80,36,44,50
