n,method,seed,objective,gap_vs_milp_%,time_s,n_items,n_truck,n_drone,n_rendv,W_final,profit,rental,arrival,truck_route_node_ids,drone_arc_node_ids,collected_node_ids,truck_node_ids,drone_node_ids,rendezvous_node_ids,W_sequence
10,eas_beam,0,-29254.7855,6.4075,11.05,7,4,3,4,7037.0,5475.0,34729.78550478555,477.71369332579843,"[1, 249, 253, 144, 19, 18, 9, 1, 1]","[(1, 238), (238, 253), (253, 221), (221, 144), (144, 107), (107, 19), (19, 84), (84, 1)]","[249, 19, 18, 9, 238, 107, 84]","[249, 19, 18, 9]","[238, 107, 84]","[253, 144, 19, 1]","[(1, 0.0), (249, 0.0), (253, 1005.0), (144, 2011.0), (19, 2011.0), (18, 4021.0), (9, 5025.0), (1, 6030.0), (1, 7037.0)]"
15,greedy,0,-42644.0266,17.2,0.01,12,5,7,8,12053.0,9909.0,52553.026629601816,722.875194354908,"[1, 145, 175, 108, 61, 124, 268, 10, 1, 1]","[(1, 190), (190, 145), (145, 184), (184, 175), (175, 77), (77, 108), (108, 82), (82, 61), (61, 30), (30, 124), (124, 20), (20, 268), (268, 240), (240, 10), (10, 7), (7, 1)]","[108, 61, 124, 268, 10, 184, 77, 82, 30, 20, 240, 7]","[108, 61, 124, 268, 10]","[184, 77, 82, 30, 20, 240, 7]","[145, 175, 108, 61, 124, 268, 10, 1]","[(1, 0.0), (145, 0.0), (175, 0.0), (108, 1005.0), (61, 3016.0), (124, 5026.0), (268, 7039.0), (10, 9049.0), (1, 11052.0), (1, 12053.0)]"
15,pomo,0,-40923.0745,12.4703,0.096,11,5,6,7,11051.0,9094.0,50017.07448027681,687.9927713930786,"[1, 268, 145, 175, 108, 61, 124, 10, 7, 1, 1]","[(1, 190), (190, 145), (145, 184), (184, 175), (175, 77), (77, 108), (108, 82), (82, 61), (61, 30), (30, 124), (124, 20), (20, 10), (10, 240), (240, 1)]","[108, 61, 124, 10, 7, 184, 77, 82, 30, 20, 240]","[108, 61, 124, 10, 7]","[184, 77, 82, 30, 20, 240]","[145, 175, 108, 61, 124, 10, 1]","[(1, 0.0), (268, 0.0), (145, 0.0), (175, 0.0), (108, 1005.0), (61, 3016.0), (124, 5026.0), (10, 7039.0), (7, 9048.0), (1, 10049.0), (1, 11051.0)]"
15,pomo_aug,0,-38912.7543,6.9452,0.675,12,6,6,7,12050.0,9680.0,48592.75429984657,668.4010220061426,"[1, 145, 184, 108, 61, 124, 20, 10, 7, 1, 1]","[(1, 190), (190, 184), (184, 77), (77, 108), (108, 82), (82, 61), (61, 175), (175, 124), (124, 30), (30, 20), (20, 268), (268, 10), (10, 240), (240, 1)]","[108, 61, 124, 20, 10, 7, 77, 82, 175, 30, 268, 240]","[108, 61, 124, 20, 10, 7]","[77, 82, 175, 30, 268, 240]","[184, 108, 61, 124, 20, 10, 1]","[(1, 0.0), (145, 0.0), (184, 0.0), (108, 0.0), (61, 2011.0), (124, 4021.0), (20, 6028.0), (10, 8044.0), (7, 10047.0), (1, 11048.0), (1, 12050.0)]"
15,sampling,0,-37979.2108,4.3796,102.784,13,7,6,7,13055.0,10632.0,48611.21077861434,668.6548937911188,"[1, 145, 184, 108, 61, 124, 20, 10, 7, 1, 1]","[(1, 190), (190, 184), (184, 82), (82, 108), (108, 77), (77, 61), (61, 175), (175, 124), (124, 30), (30, 20), (20, 268), (268, 10), (10, 240), (240, 1)]","[184, 108, 61, 124, 20, 10, 7, 82, 77, 175, 30, 268, 240]","[184, 108, 61, 124, 20, 10, 7]","[82, 77, 175, 30, 268, 240]","[184, 108, 61, 124, 20, 10, 1]","[(1, 0.0), (145, 0.0), (184, 0.0), (108, 1005.0), (61, 3023.0), (124, 5026.0), (20, 7033.0), (10, 9049.0), (7, 11052.0), (1, 12053.0), (1, 13055.0)]"
15,beam,0,-37972.0838,4.36,514.413,11,6,5,7,11051.0,8940.0,46912.08383216484,645.2831338674669,"[1, 145, 184, 175, 61, 124, 20, 10, 7, 1, 1]","[(1, 77), (77, 184), (184, 190), (190, 175), (175, 108), (108, 61), (61, 82), (82, 124), (124, 30), (30, 20), (20, 268), (268, 10), (10, 240), (240, 1)]","[184, 61, 124, 20, 10, 7, 108, 82, 30, 268, 240]","[184, 61, 124, 20, 10, 7]","[108, 82, 30, 268, 240]","[184, 175, 61, 124, 20, 10, 1]","[(1, 0.0), (145, 0.0), (184, 0.0), (175, 1005.0), (61, 1005.0), (124, 3015.0), (20, 5029.0), (10, 7045.0), (7, 9048.0), (1, 10049.0), (1, 11051.0)]"
15,eas,0,-38139.4888,4.8201,10.67,12,6,6,7,12050.0,9680.0,47819.48882940535,657.7646331417517,"[1, 145, 184, 108, 61, 124, 20, 10, 7, 1, 1]","[(1, 190), (190, 184), (184, 82), (82, 108), (108, 77), (77, 61), (61, 175), (175, 124), (124, 30), (30, 20), (20, 268), (268, 10), (10, 240), (240, 1)]","[108, 61, 124, 20, 10, 7, 82, 77, 175, 30, 268, 240]","[108, 61, 124, 20, 10, 7]","[82, 77, 175, 30, 268, 240]","[184, 108, 61, 124, 20, 10, 1]","[(1, 0.0), (145, 0.0), (184, 0.0), (108, 0.0), (61, 2018.0), (124, 4021.0), (20, 6028.0), (10, 8044.0), (7, 10047.0), (1, 11048.0), (1, 12050.0)]"
15,eas_beam,0,-37979.2108,4.3796,16.591,13,7,6,7,13055.0,10632.0,48611.21077861434,668.6548937911188,"[1, 145, 184, 108, 61, 124, 20, 10, 7, 1, 1]","[(1, 190), (190, 184), (184, 82), (82, 108), (108, 77), (77, 61), (61, 175), (175, 124), (124, 30), (30, 20), (20, 268), (268, 10), (10, 240), (240, 1)]","[184, 108, 61, 124, 20, 10, 7, 82, 77, 175, 30, 268, 240]","[184, 108, 61, 124, 20, 10, 7]","[82, 77, 175, 30, 268, 240]","[184, 108, 61, 124, 20, 10, 1]","[(1, 0.0), (145, 0.0), (184, 0.0), (108, 1005.0), (61, 3023.0), (124, 5026.0), (20, 7033.0), (10, 9049.0), (7, 11052.0), (1, 12053.0), (1, 13055.0)]"
20,greedy,0,-45898.4774,14.4864,0.013,15,7,8,10,15072.0,12759.0,58657.47744937677,806.842881009309,"[1, 135, 54, 66, 88, 104, 170, 164, 212, 210, 244, 1, 1]","[(1, 40), (40, 54), (54, 53), (53, 66), (66, 79), (79, 88), (88, 108), (108, 104), (104, 169), (169, 170), (170, 165), (165, 164), (164, 173), (173, 212), (212, 220), (220, 210), (210, 15), (15, 244), (244, 232), (232, 1)]","[88, 104, 170, 164, 212, 210, 244, 79, 108, 169, 165, 173, 220, 15, 232]","[88, 104, 170, 164, 212, 210, 244]","[79, 108, 169, 165, 173, 220, 15, 232]","[54, 66, 88, 104, 170, 164, 212, 210, 244, 1]","[(1, 0.0), (135, 0.0), (54, 0.0), (66, 0.0), (88, 0.0), (104, 2009.0), (170, 4024.0), (164, 6033.0), (212, 8039.0), (210, 10047.0), (244, 12052.0), (1, 14069.0), (1, 15072.0)]"
20,pomo,0,-44999.59,12.2443,0.163,15,7,8,10,15065.0,12676.0,57675.59002976877,793.336864233408,"[1, 15, 54, 66, 88, 104, 170, 164, 212, 210, 244, 1, 1]","[(1, 40), (40, 54), (54, 53), (53, 66), (66, 79), (79, 88), (88, 108), (108, 104), (104, 169), (169, 170), (170, 173), (173, 164), (164, 165), (165, 212), (212, 220), (220, 210), (210, 135), (135, 244), (244, 232), (232, 1)]","[88, 104, 170, 164, 212, 210, 244, 79, 108, 169, 173, 165, 220, 135, 232]","[88, 104, 170, 164, 212, 210, 244]","[79, 108, 169, 173, 165, 220, 135, 232]","[54, 66, 88, 104, 170, 164, 212, 210, 244, 1]","[(1, 0.0), (15, 0.0), (54, 0.0), (66, 0.0), (88, 0.0), (104, 2009.0), (170, 4024.0), (164, 6033.0), (212, 8041.0), (210, 10047.0), (244, 12052.0), (1, 14062.0), (1, 15065.0)]"
20,pomo_aug,0,-42682.8103,6.4655,1.211,16,8,8,10,16072.0,13732.0,56414.81027652385,775.9946392919373,"[1, 135, 40, 66, 88, 104, 173, 164, 212, 210, 244, 1, 1]","[(1, 15), (15, 135), (135, 53), (53, 40), (40, 54), (54, 66), (66, 79), (79, 88), (88, 108), (108, 104), (104, 169), (169, 173), (173, 170), (170, 164), (164, 165), (165, 212), (212, 220), (220, 210), (210, 232), (232, 1)]","[66, 88, 104, 173, 164, 212, 210, 244, 53, 79, 108, 169, 170, 165, 220, 232]","[66, 88, 104, 173, 164, 212, 210, 244]","[53, 79, 108, 169, 170, 165, 220, 232]","[135, 40, 66, 88, 104, 173, 164, 212, 210, 1]","[(1, 0.0), (135, 0.0), (40, 0.0), (66, 1005.0), (88, 2009.0), (104, 4018.0), (173, 6033.0), (164, 8043.0), (212, 10050.0), (210, 12056.0), (244, 14061.0), (1, 15069.0), (1, 16072.0)]"
20,sampling,0,-42682.8103,6.4655,176.398,16,8,8,10,16072.0,13732.0,56414.81027652385,775.9946392919373,"[1, 135, 40, 66, 88, 104, 173, 164, 212, 210, 244, 1, 1]","[(1, 15), (15, 135), (135, 53), (53, 40), (40, 54), (54, 66), (66, 79), (79, 88), (88, 108), (108, 104), (104, 169), (169, 173), (173, 170), (170, 164), (164, 165), (165, 212), (212, 220), (220, 210), (210, 232), (232, 1)]","[66, 88, 104, 173, 164, 212, 210, 244, 53, 79, 108, 169, 170, 165, 220, 232]","[66, 88, 104, 173, 164, 212, 210, 244]","[53, 79, 108, 169, 170, 165, 220, 232]","[135, 40, 66, 88, 104, 173, 164, 212, 210, 1]","[(1, 0.0), (135, 0.0), (40, 0.0), (66, 1005.0), (88, 2009.0), (104, 4018.0), (173, 6033.0), (164, 8043.0), (212, 10050.0), (210, 12056.0), (244, 14061.0), (1, 15069.0), (1, 16072.0)]"
20,beam,0,-42173.9103,5.1961,1289.629,16,8,8,10,16072.0,13732.0,55905.91027652385,768.9946392919373,"[1, 15, 40, 66, 88, 104, 173, 164, 212, 210, 244, 1, 1]","[(1, 135), (135, 15), (15, 53), (53, 40), (40, 54), (54, 66), (66, 79), (79, 88), (88, 108), (108, 104), (104, 169), (169, 173), (173, 170), (170, 164), (164, 165), (165, 212), (212, 220), (220, 210), (210, 232), (232, 1)]","[66, 88, 104, 173, 164, 212, 210, 244, 53, 79, 108, 169, 170, 165, 220, 232]","[66, 88, 104, 173, 164, 212, 210, 244]","[53, 79, 108, 169, 170, 165, 220, 232]","[15, 40, 66, 88, 104, 173, 164, 212, 210, 1]","[(1, 0.0), (15, 0.0), (40, 0.0), (66, 1005.0), (88, 2009.0), (104, 4018.0), (173, 6033.0), (164, 8043.0), (212, 10050.0), (210, 12056.0), (244, 14061.0), (1, 15069.0), (1, 16072.0)]"
20,eas,0,-44681.3113,11.4504,13.915,15,7,8,10,15072.0,12759.0,57440.31131257609,790.100568261019,"[1, 135, 40, 66, 88, 104, 173, 164, 212, 210, 244, 1, 1]","[(1, 54), (54, 40), (40, 53), (53, 66), (66, 79), (79, 88), (88, 108), (108, 104), (104, 170), (170, 173), (173, 169), (169, 164), (164, 165), (165, 212), (212, 220), (220, 210), (210, 15), (15, 244), (244, 232), (232, 1)]","[88, 104, 173, 164, 212, 210, 244, 79, 108, 170, 169, 165, 220, 15, 232]","[88, 104, 173, 164, 212, 210, 244]","[79, 108, 170, 169, 165, 220, 15, 232]","[40, 66, 88, 104, 173, 164, 212, 210, 244, 1]","[(1, 0.0), (135, 0.0), (40, 0.0), (66, 0.0), (88, 0.0), (104, 2009.0), (173, 4024.0), (164, 6031.0), (212, 8041.0), (210, 10047.0), (244, 12052.0), (1, 14069.0), (1, 15072.0)]"
20,eas_beam,0,-43616.0108,8.7932,22.677,17,8,9,10,17081.0,14615.0,58231.01084180703,800.9767653618574,"[1, 135, 40, 66, 88, 108, 173, 164, 212, 210, 244, 1, 1]","[(1, 54), (54, 40), (40, 53), (53, 66), (66, 79), (79, 88), (88, 104), (104, 108), (108, 170), (170, 173), (173, 169), (169, 164), (164, 165), (165, 212), (212, 220), (220, 210), (210, 15), (15, 244), (244, 232), (232, 1)]","[66, 88, 108, 173, 164, 212, 210, 244, 53, 79, 104, 170, 169, 165, 220, 15, 232]","[66, 88, 108, 173, 164, 212, 210, 244]","[53, 79, 104, 170, 169, 165, 220, 15, 232]","[40, 66, 88, 108, 173, 164, 212, 210, 244, 1]","[(1, 0.0), (135, 0.0), (40, 0.0), (66, 0.0), (88, 2009.0), (108, 4018.0), (173, 6033.0), (164, 8040.0), (212, 10050.0), (210, 12056.0), (244, 14061.0), (1, 16078.0), (1, 17081.0)]"
