method,n,seed,instance,status,objective,gap_%,time_s,n_items,n_truck,n_drone,n_rendv,profit,rental,arrival,W_final,W_capacity,W_actual,evals,time_to_best_s,collected_node_ids,truck_node_ids,drone_node_ids,rendezvous_node_ids,truck_route_node_ids,drone_arc_node_ids,W_sequence
VNS,15,9,bench_15_3,ok,-36689.4522,0.8349,120.0001,11,7,4,5,9182.0,45871.4522,630.9691,11056.0,34126.0,15084.0,9743045,19.0284,"[8, 10, 11, 14, 13, 12, 16, 3, 5, 6, 2]","[8, 10, 11, 14, 13, 12, 16]","[3, 5, 6, 2]","[8, 7, 10, 13, 1]","[1, 15, 9, 8, 7, 10, 11, 14, 13, 12, 16, 1]","[(1, 4), (4, 8), (8, 3), (3, 7), (7, 5), (5, 10), (10, 6), (6, 13), (13, 2), (2, 1)]","[(1, 0.0), (15, 0.0), (9, 0.0), (8, 0.0), (7, 1006.0), (10, 2014.0), (11, 4026.0), (14, 5029.0), (13, 6037.0), (12, 8054.0), (16, 9054.0), (1, 10054.0)]"
VNS,15,1,bench_15_4,ok,-35495.4306,-2.4467,120.0015,12,7,5,6,10833.0,46328.4306,637.2549,12056.0,34126.0,15068.0,8489042,7.6021,"[3, 9, 11, 10, 12, 13, 14, 5, 8, 7, 15, 16]","[3, 9, 11, 10, 12, 13, 14]","[5, 8, 7, 15, 16]","[3, 4, 11, 12, 14, 1]","[1, 2, 3, 4, 9, 11, 10, 12, 13, 14, 1]","[(1, 6), (6, 3), (3, 5), (5, 4), (4, 8), (8, 11), (11, 7), (7, 12), (12, 15), (15, 14), (14, 16), (16, 1)]","[(1, 0.0), (2, 0.0), (3, 0.0), (4, 1003.0), (9, 2012.0), (11, 3015.0), (10, 5022.0), (12, 6029.0), (13, 8036.0), (14, 9040.0), (1, 11049.0)]"
VNS,15,5,bench_15_4,ok,-34558.1341,-5.0227,120.0005,14,8,6,7,12484.0,47042.1341,647.072,14061.0,34126.0,15068.0,6886648,21.0368,"[2, 3, 4, 9, 11, 10, 15, 16, 5, 7, 8, 12, 13, 14]","[2, 3, 4, 9, 11, 10, 15, 16]","[5, 7, 8, 12, 13, 14]","[3, 4, 11, 10, 15, 16, 1]","[1, 2, 3, 4, 9, 11, 10, 15, 16, 1]","[(1, 6), (6, 3), (3, 5), (5, 4), (4, 7), (7, 11), (11, 8), (8, 10), (10, 12), (12, 15), (15, 13), (13, 16), (16, 14), (14, 1)]","[(1, 0.0), (2, 0.0), (3, 1005.0), (4, 2008.0), (9, 4017.0), (11, 5020.0), (10, 7021.0), (15, 9034.0), (16, 11043.0), (1, 13054.0)]"
VNS,15,9,bench_15_4,ok,-35495.4306,-2.4467,120.0001,12,7,5,6,10833.0,46328.4306,637.2549,12056.0,34126.0,15068.0,8487460,4.6396,"[3, 9, 11, 10, 12, 13, 14, 5, 8, 7, 15, 16]","[3, 9, 11, 10, 12, 13, 14]","[5, 8, 7, 15, 16]","[3, 4, 11, 12, 14, 1]","[1, 2, 3, 4, 9, 11, 10, 12, 13, 14, 1]","[(1, 6), (6, 3), (3, 5), (5, 4), (4, 8), (8, 11), (11, 7), (7, 12), (12, 15), (15, 14), (14, 16), (16, 1)]","[(1, 0.0), (2, 0.0), (3, 0.0), (4, 1003.0), (9, 2012.0), (11, 3015.0), (10, 5022.0), (12, 6029.0), (13, 8036.0), (14, 9040.0), (1, 11049.0)]"
VNS,15,1,bench_15_5,ok,-33375.6962,-8.2724,120.0001,11,7,4,5,9306.0,42681.6962,587.0935,11065.0,34126.0,15075.0,9964921,10.2495,"[10, 8, 7, 9, 2, 15, 16, 4, 6, 3, 5]","[10, 8, 7, 9, 2, 15, 16]","[4, 6, 3, 5]","[14, 10, 8, 9, 1]","[1, 14, 12, 11, 10, 8, 7, 9, 2, 15, 16, 1]","[(1, 13), (13, 14), (14, 4), (4, 10), (10, 6), (6, 8), (8, 3), (3, 9), (9, 5), (5, 1)]","[(1, 0.0), (14, 0.0), (12, 0.0), (11, 0.0), (10, 0.0), (8, 2011.0), (7, 4027.0), (9, 5036.0), (2, 7051.0), (15, 8055.0), (16, 9060.0), (1, 10060.0)]"
VNS,15,5,bench_15_5,ok,-33375.6962,-8.2724,120.0011,11,7,4,5,9306.0,42681.6962,587.0935,11065.0,34126.0,15075.0,9895052,3.6669,"[10, 8, 7, 9, 2, 15, 16, 4, 6, 3, 5]","[10, 8, 7, 9, 2, 15, 16]","[4, 6, 3, 5]","[14, 10, 8, 9, 1]","[1, 14, 12, 11, 10, 8, 7, 9, 2, 15, 16, 1]","[(1, 13), (13, 14), (14, 4), (4, 10), (10, 6), (6, 8), (8, 3), (3, 9), (9, 5), (5, 1)]","[(1, 0.0), (14, 0.0), (12, 0.0), (11, 0.0), (10, 0.0), (8, 2011.0), (7, 4027.0), (9, 5036.0), (2, 7051.0), (15, 8055.0), (16, 9060.0), (1, 10060.0)]"
VNS,15,9,bench_15_5,ok,-35483.4733,-2.4796,120.0019,12,8,4,5,10191.0,45674.4733,628.2596,12060.0,34126.0,15075.0,9858303,74.7472,"[10, 8, 7, 3, 9, 2, 15, 16, 6, 5, 13, 14]","[10, 8, 7, 3, 9, 2, 15, 16]","[6, 5, 13, 14]","[10, 7, 15, 16, 1]","[1, 12, 11, 10, 8, 7, 3, 9, 2, 15, 16, 1]","[(1, 4), (4, 10), (10, 6), (6, 7), (7, 5), (5, 15), (15, 13), (13, 16), (16, 14), (14, 1)]","[(1, 0.0), (12, 0.0), (11, 0.0), (10, 0.0), (8, 1004.0), (7, 2011.0), (3, 4029.0), (9, 5038.0), (2, 6044.0), (15, 7048.0), (16, 9058.0), (1, 11060.0)]"
VNS,20,3,bench_20_1,ok,-40143.3247,0.1311,300.0411,16,9,7,9,13732.0,53875.3247,741.0636,16072.0,45501.0,20094.0,3240516,126.8729,"[8, 10, 9, 14, 15, 12, 18, 17, 21, 4, 7, 16, 13, 6, 19, 20]","[8, 10, 9, 14, 15, 12, 18, 17, 21]","[4, 7, 16, 13, 6, 19, 20]","[2, 3, 8, 9, 15, 12, 17, 21, 1]","[1, 2, 3, 8, 10, 9, 14, 15, 12, 18, 17, 21, 1]","[(1, 11), (11, 2), (2, 5), (5, 3), (3, 4), (4, 8), (8, 7), (7, 9), (9, 16), (16, 15), (15, 13), (13, 12), (12, 6), (6, 17), (17, 19), (19, 21), (21, 20), (20, 1)]","[(1, 0.0), (2, 0.0), (3, 0.0), (8, 0.0), (10, 2009.0), (9, 3018.0), (14, 5029.0), (15, 6035.0), (12, 8042.0), (18, 10048.0), (17, 11052.0), (21, 13058.0), (1, 15069.0)]"
VNS,20,7,bench_20_1,ok,-40090.7023,-0.0001,300.0121,16,8,8,10,13732.0,53822.7023,740.3398,16072.0,45501.0,20094.0,4372551,32.983,"[6, 8, 10, 16, 12, 18, 17, 21, 4, 7, 9, 15, 13, 14, 19, 20]","[6, 8, 10, 16, 12, 18, 17, 21]","[4, 7, 9, 15, 13, 14, 19, 20]","[2, 3, 6, 8, 10, 16, 12, 17, 21, 1]","[1, 2, 3, 6, 8, 10, 16, 12, 18, 17, 21, 1]","[(1, 11), (11, 2), (2, 5), (5, 3), (3, 4), (4, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 15), (15, 16), (16, 13), (13, 12), (12, 14), (14, 17), (17, 19), (19, 21), (21, 20), (20, 1)]","[(1, 0.0), (2, 0.0), (3, 0.0), (6, 0.0), (8, 2009.0), (10, 4018.0), (16, 6033.0), (12, 8040.0), (18, 10046.0), (17, 11050.0), (21, 13058.0), (1, 15069.0)]"
VNS,20,3,bench_20_2,ok,-40558.27,1.1661,300.021,14,8,6,8,11843.0,52401.27,720.7878,14066.0,45501.0,20098.0,4602332,89.6253,"[2, 8, 9, 14, 13, 16, 18, 21, 6, 7, 5, 15, 17, 11]","[2, 8, 9, 14, 13, 16, 18, 21]","[6, 7, 5, 15, 17, 11]","[19, 3, 8, 9, 13, 16, 18, 1]","[1, 19, 2, 3, 10, 12, 8, 9, 14, 13, 16, 18, 21, 1]","[(1, 20), (20, 19), (19, 4), (4, 3), (3, 6), (6, 8), (8, 7), (7, 9), (9, 5), (5, 13), (13, 15), (15, 16), (16, 17), (17, 18), (18, 11), (11, 1)]","[(1, 0.0), (19, 0.0), (2, 0.0), (3, 1004.0), (10, 1004.0), (12, 1004.0), (8, 1004.0), (9, 3017.0), (14, 5018.0), (13, 6027.0), (16, 8038.0), (18, 10046.0), (21, 12057.0), (1, 13057.0)]"
VNS,20,7,bench_20_2,ok,-39293.4951,-1.9886,300.01,15,10,5,8,12540.0,51833.4951,712.9779,15068.0,45501.0,20098.0,4824413,52.1094,"[2, 7, 8, 9, 14, 13, 11, 20, 19, 21, 6, 5, 15, 16, 17]","[2, 7, 8, 9, 14, 13, 11, 20, 19, 21]","[6, 5, 15, 16, 17]","[2, 10, 12, 9, 13, 11, 20, 1]","[1, 2, 10, 12, 7, 8, 9, 14, 13, 11, 20, 19, 21, 1]","[(1, 18), (18, 2), (2, 3), (3, 10), (10, 4), (4, 12), (12, 6), (6, 9), (9, 5), (5, 13), (13, 15), (15, 11), (11, 16), (16, 20), (20, 17), (17, 1)]","[(1, 0.0), (2, 0.0), (10, 1004.0), (12, 1004.0), (7, 1004.0), (8, 2005.0), (9, 3009.0), (14, 5018.0), (13, 6027.0), (11, 8038.0), (20, 10051.0), (19, 12061.0), (21, 13062.0), (1, 14062.0)]"
VNS,20,3,bench_20_3,ok,-35024.6826,-12.6365,300.0232,17,10,7,8,14648.0,49672.6826,683.2556,17091.0,45501.0,20106.0,4597058,87.7228,"[4, 5, 11, 10, 9, 14, 15, 17, 16, 21, 7, 6, 8, 13, 19, 18, 20]","[4, 5, 11, 10, 9, 14, 15, 17, 16, 21]","[7, 6, 8, 13, 19, 18, 20]","[3, 5, 9, 14, 15, 17, 16, 1]","[1, 3, 12, 4, 5, 11, 10, 9, 14, 15, 17, 16, 21, 1]","[(1, 2), (2, 3), (3, 7), (7, 5), (5, 6), (6, 9), (9, 8), (8, 14), (14, 13), (13, 15), (15, 19), (19, 17), (17, 18), (18, 16), (16, 20), (20, 1)]","[(1, 0.0), (3, 0.0), (12, 0.0), (4, 0.0), (5, 1002.0), (11, 3015.0), (10, 4021.0), (9, 5029.0), (14, 7041.0), (15, 9054.0), (17, 11064.0), (16, 13080.0), (21, 15088.0), (1, 16088.0)]"
VNS,20,7,bench_20_3,ok,-38607.2996,-3.7002,300.0436,16,8,8,9,13925.0,52532.2996,722.5901,16083.0,45501.0,20106.0,3380824,142.7024,"[9, 8, 13, 14, 15, 17, 16, 21, 19, 4, 11, 6, 7, 5, 18, 20]","[9, 8, 13, 14, 15, 17, 16, 21]","[19, 4, 11, 6, 7, 5, 18, 20]","[3, 12, 10, 9, 8, 13, 17, 16, 1]","[1, 3, 12, 10, 9, 8, 13, 14, 15, 17, 16, 21, 1]","[(1, 2), (2, 3), (3, 19), (19, 12), (12, 4), (4, 10), (10, 11), (11, 9), (9, 6), (6, 8), (8, 7), (7, 13), (13, 5), (5, 17), (17, 18), (18, 16), (16, 20), (20, 1)]","[(1, 0.0), (3, 0.0), (12, 0.0), (10, 1008.0), (9, 2010.0), (8, 4019.0), (13, 6037.0), (14, 8049.0), (15, 9053.0), (17, 10056.0), (16, 12072.0), (21, 14080.0), (1, 15080.0)]"
VNS,20,3,bench_20_4,ok,-37003.0543,-7.7018,300.0381,18,9,9,10,15946.0,52949.0543,728.3226,18080.0,45501.0,20092.0,6213072,15.6007,"[3, 5, 7, 10, 15, 14, 13, 18, 19, 16, 4, 8, 9, 11, 20, 12, 17, 21]","[3, 5, 7, 10, 15, 14, 13, 18, 19]","[16, 4, 8, 9, 11, 20, 12, 17, 21]","[3, 5, 7, 10, 15, 14, 13, 18, 19, 1]","[1, 2, 3, 5, 7, 10, 15, 14, 13, 18, 19, 1]","[(1, 16), (16, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 10), (10, 9), (9, 15), (15, 11), (11, 14), (14, 20), (20, 13), (13, 12), (12, 18), (18, 17), (17, 19), (19, 21), (21, 1)]","[(1, 0.0), (2, 0.0), (3, 0.0), (5, 2009.0), (7, 4018.0), (10, 5018.0), (15, 7024.0), (14, 9030.0), (13, 11040.0), (18, 13048.0), (19, 15059.0), (1, 17073.0)]"
VNS,20,7,bench_20_4,ok,-37003.0543,-7.7018,300.0213,18,9,9,10,15946.0,52949.0543,728.3226,18080.0,45501.0,20092.0,6282427,21.7525,"[3, 5, 7, 10, 15, 14, 13, 18, 19, 16, 4, 8, 9, 11, 20, 12, 17, 21]","[3, 5, 7, 10, 15, 14, 13, 18, 19]","[16, 4, 8, 9, 11, 20, 12, 17, 21]","[3, 5, 7, 10, 15, 14, 13, 18, 19, 1]","[1, 2, 3, 5, 7, 10, 15, 14, 13, 18, 19, 1]","[(1, 16), (16, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 10), (10, 9), (9, 15), (15, 11), (11, 14), (14, 20), (20, 13), (13, 12), (12, 18), (18, 17), (17, 19), (19, 21), (21, 1)]","[(1, 0.0), (2, 0.0), (3, 0.0), (5, 2009.0), (7, 4018.0), (10, 5018.0), (15, 7024.0), (14, 9030.0), (13, 11040.0), (18, 13048.0), (19, 15059.0), (1, 17073.0)]"
VNS,20,3,bench_20_5,ok,-38061.0954,-5.0627,300.0276,13,8,5,9,10981.0,49042.0954,674.5818,13074.0,45501.0,20090.0,3243360,33.1441,"[14, 9, 6, 10, 11, 12, 3, 20, 7, 5, 4, 2, 18]","[14, 9, 6, 10, 11, 12, 3, 20]","[7, 5, 4, 2, 18]","[17, 16, 14, 9, 6, 10, 12, 20, 1]","[1, 21, 17, 16, 14, 9, 6, 10, 11, 12, 3, 20, 1]","[(1, 19), (19, 17), (17, 15), (15, 16), (16, 13), (13, 14), (14, 8), (8, 9), (9, 7), (7, 6), (6, 5), (5, 10), (10, 4), (4, 12), (12, 2), (2, 20), (20, 18), (18, 1)]","[(1, 0.0), (21, 0.0), (17, 0.0), (16, 0.0), (14, 0.0), (9, 1004.0), (6, 2009.0), (10, 4023.0), (11, 6039.0), (12, 7046.0), (3, 9061.0), (20, 10065.0), (1, 12072.0)]"
VNS,20,7,bench_20_5,ok,-37879.2381,-5.5163,300.022,15,8,7,10,12322.0,50201.2381,690.526,15074.0,45501.0,20090.0,4638045,2.5851,"[14, 9, 6, 11, 12, 3, 20, 21, 8, 7, 5, 10, 4, 18, 19]","[14, 9, 6, 11, 12, 3, 20, 21]","[8, 7, 5, 10, 4, 18, 19]","[17, 16, 14, 9, 6, 11, 12, 20, 21, 1]","[1, 17, 16, 14, 9, 6, 11, 12, 3, 20, 21, 1]","[(1, 2), (2, 17), (17, 15), (15, 16), (16, 13), (13, 14), (14, 8), (8, 9), (9, 7), (7, 6), (6, 5), (5, 11), (11, 10), (10, 12), (12, 4), (4, 20), (20, 18), (18, 21), (21, 19), (19, 1)]","[(1, 0.0), (17, 0.0), (16, 0.0), (14, 0.0), (9, 1004.0), (6, 3011.0), (11, 5025.0), (12, 7039.0), (3, 9054.0), (20, 10058.0), (21, 12072.0), (1, 14074.0)]"
VNS,30,1,bench_30_1,ok,-42010.4011,,450.187,29,20,9,10,25661.0,67671.4011,930.8308,29136.0,68251.0,30140.0,6619078,376.5571,"[29, 22, 21, 19, 13, 14, 15, 11, 10, 9, 8, 16, 17, 7, 6, 5, 4, 3, 31, 2, 26, 23, 12, 24, 25, 30, 18, 28, 27]","[29, 22, 21, 19, 13, 14, 15, 11, 10, 9, 8, 16, 17, 7, 6, 5, 4, 3, 31, 2]","[26, 23, 12, 24, 25, 30, 18, 28, 27]","[22, 21, 13, 11, 16, 6, 5, 3, 2, 1]","[1, 29, 22, 21, 19, 13, 14, 15, 11, 10, 9, 8, 16, 17, 7, 6, 5, 4, 3, 31, 2, 1]","[(1, 26), (26, 22), (22, 20), (20, 21), (21, 23), (23, 13), (13, 12), (12, 11), (11, 24), (24, 16), (16, 25), (25, 6), (6, 30), (30, 5), (5, 18), (18, 3), (3, 28), (28, 2), (2, 27), (27, 1)]","[(1, 0.0), (29, 0.0), (22, 1004.0), (21, 3011.0), (19, 4013.0), (13, 5017.0), (14, 7025.0), (15, 8030.0), (11, 9036.0), (10, 11039.0), (9, 12046.0), (8, 13050.0), (16, 14052.0), (17, 16065.0), (7, 17071.0), (6, 18079.0), (5, 20088.0), (4, 22106.0), (3, 23107.0), (31, 25119.0), (2, 26124.0), (1, 28136.0)]"
VNS,30,5,bench_30_1,ok,-39126.7932,,450.1683,28,18,10,10,25082.0,64208.7932,883.2021,28127.0,68251.0,30140.0,6512161,409.6331,"[6, 7, 8, 11, 15, 14, 13, 19, 21, 20, 22, 23, 24, 26, 25, 28, 31, 2, 4, 5, 9, 12, 16, 18, 27, 29, 30, 3]","[6, 7, 8, 11, 15, 14, 13, 19, 21, 20, 22, 23, 24, 26, 25, 28, 31, 2]","[4, 5, 9, 12, 16, 18, 27, 29, 30, 3]","[17, 10, 15, 19, 22, 24, 26, 28, 2, 1]","[1, 6, 7, 17, 8, 10, 11, 15, 14, 13, 19, 21, 20, 22, 23, 24, 26, 25, 28, 31, 2, 1]","[(1, 4), (4, 17), (17, 5), (5, 10), (10, 9), (9, 15), (15, 12), (12, 19), (19, 16), (16, 22), (22, 18), (18, 24), (24, 27), (27, 26), (26, 29), (29, 28), (28, 30), (30, 2), (2, 3), (3, 1)]","[(1, 0.0), (6, 0.0), (7, 1004.0), (17, 2012.0), (8, 3013.0), (10, 4015.0), (11, 5024.0), (15, 6026.0), (14, 8036.0), (13, 9041.0), (19, 10043.0), (21, 12048.0), (20, 13050.0), (22, 14054.0), (23, 16067.0), (24, 17073.0), (26, 19083.0), (25, 21086.0), (28, 22091.0), (31, 24101.0), (2, 25106.0), (1, 27121.0)]"
VNS,30,9,bench_30_1,ok,-39241.5834,,450.0125,28,18,10,10,24851.0,64092.5834,881.6036,28131.0,68251.0,30140.0,6245126,423.8495,"[23, 22, 21, 19, 13, 14, 15, 11, 10, 9, 8, 17, 7, 5, 4, 3, 31, 2, 26, 24, 12, 16, 18, 6, 30, 29, 28, 27]","[23, 22, 21, 19, 13, 14, 15, 11, 10, 9, 8, 17, 7, 5, 4, 3, 31, 2]","[26, 24, 12, 16, 18, 6, 30, 29, 28, 27]","[21, 11, 10, 8, 17, 7, 5, 3, 2, 1]","[1, 25, 23, 22, 20, 21, 19, 13, 14, 15, 11, 10, 9, 8, 17, 7, 5, 4, 3, 31, 2, 1]","[(1, 26), (26, 21), (21, 24), (24, 11), (11, 12), (12, 10), (10, 16), (16, 8), (8, 18), (18, 17), (17, 6), (6, 7), (7, 30), (30, 5), (5, 29), (29, 3), (3, 28), (28, 2), (2, 27), (27, 1)]","[(1, 0.0), (25, 0.0), (23, 0.0), (22, 1006.0), (20, 2010.0), (21, 2010.0), (19, 4015.0), (13, 5019.0), (14, 6021.0), (15, 7026.0), (11, 8032.0), (10, 10038.0), (9, 12046.0), (8, 13050.0), (17, 15061.0), (7, 17073.0), (5, 19085.0), (4, 21103.0), (3, 22104.0), (31, 24114.0), (2, 25119.0), (1, 27131.0)]"
VNS,30,1,bench_30_2,ok,-42739.7677,,450.1087,27,17,10,10,22249.0,64988.7677,893.9308,27124.0,68251.0,30134.0,5468547,24.7845,"[19, 12, 10, 8, 9, 6, 7, 5, 14, 13, 15, 4, 3, 30, 29, 28, 31, 27, 25, 20, 11, 21, 17, 16, 2, 26, 24]","[19, 12, 10, 8, 9, 6, 7, 5, 14, 13, 15, 4, 3, 30, 29, 28, 31]","[27, 25, 20, 11, 21, 17, 16, 2, 26, 24]","[23, 18, 12, 9, 5, 13, 4, 3, 28, 1]","[1, 23, 22, 19, 18, 12, 10, 8, 9, 6, 7, 5, 14, 13, 15, 4, 3, 30, 29, 28, 31, 1]","[(1, 27), (27, 23), (23, 25), (25, 18), (18, 20), (20, 12), (12, 11), (11, 9), (9, 21), (21, 5), (5, 17), (17, 13), (13, 16), (16, 4), (4, 2), (2, 3), (3, 26), (26, 28), (28, 24), (24, 1)]","[(1, 0.0), (23, 0.0), (22, 1002.0), (19, 1002.0), (18, 2008.0), (12, 3014.0), (10, 5023.0), (8, 6027.0), (9, 7028.0), (6, 9037.0), (7, 10042.0), (5, 11051.0), (14, 13063.0), (13, 14066.0), (15, 16076.0), (4, 17078.0), (3, 19095.0), (30, 21105.0), (29, 22106.0), (28, 23112.0), (31, 25118.0), (1, 26118.0)]"
VNS,30,5,bench_30_2,ok,-38558.5202,,450.0807,25,17,8,10,21090.0,59648.5202,820.4748,25109.0,68251.0,30134.0,5657276,197.2546,"[3, 15, 14, 13, 9, 8, 10, 12, 18, 20, 19, 22, 23, 24, 26, 27, 31, 2, 7, 11, 6, 21, 25, 16, 29]","[3, 15, 14, 13, 9, 8, 10, 12, 18, 20, 19, 22, 23, 24, 26, 27, 31]","[2, 7, 11, 6, 21, 25, 16, 29]","[30, 15, 14, 9, 12, 19, 23, 24, 27, 1]","[1, 30, 3, 4, 15, 14, 13, 17, 9, 8, 10, 12, 18, 20, 19, 22, 23, 24, 26, 27, 31, 1]","[(1, 28), (28, 30), (30, 2), (2, 15), (15, 5), (5, 14), (14, 7), (7, 9), (9, 11), (11, 12), (12, 6), (6, 19), (19, 21), (21, 23), (23, 25), (25, 24), (24, 16), (16, 27), (27, 29), (29, 1)]","[(1, 0.0), (30, 0.0), (3, 0.0), (4, 1004.0), (15, 1004.0), (14, 3012.0), (13, 4015.0), (17, 5018.0), (9, 5018.0), (8, 7033.0), (10, 8034.0), (12, 9038.0), (18, 11041.0), (20, 12043.0), (19, 13052.0), (22, 15063.0), (23, 16067.0), (24, 18075.0), (26, 20087.0), (27, 21092.0), (31, 23103.0), (1, 24103.0)]"
VNS,30,9,bench_30_2,ok,-41970.3056,,450.1526,25,16,9,10,20814.0,62784.3056,863.6081,25115.0,68251.0,30134.0,4902003,161.2734,"[20, 12, 10, 9, 17, 13, 14, 5, 15, 4, 2, 3, 30, 29, 28, 31, 25, 19, 11, 8, 7, 6, 16, 27, 24]","[20, 12, 10, 9, 17, 13, 14, 5, 15, 4, 2, 3, 30, 29, 28, 31]","[25, 19, 11, 8, 7, 6, 16, 27, 24]","[23, 20, 18, 10, 9, 14, 15, 2, 28, 1]","[1, 23, 22, 21, 20, 18, 12, 10, 9, 17, 13, 14, 5, 15, 4, 2, 3, 30, 29, 28, 31, 1]","[(1, 26), (26, 23), (23, 25), (25, 20), (20, 19), (19, 18), (18, 11), (11, 10), (10, 8), (8, 9), (9, 7), (7, 14), (14, 6), (6, 15), (15, 16), (16, 2), (2, 27), (27, 28), (28, 24), (24, 1)]","[(1, 0.0), (23, 0.0), (22, 0.0), (21, 0.0), (20, 0.0), (18, 2015.0), (12, 3021.0), (10, 4021.0), (9, 6028.0), (17, 8035.0), (13, 9042.0), (14, 10045.0), (5, 12057.0), (15, 13065.0), (4, 15072.0), (2, 16080.0), (3, 18095.0), (30, 19099.0), (29, 20100.0), (28, 21106.0), (31, 23109.0), (1, 24109.0)]"
VNS,30,1,bench_30_3,ok,-42998.7956,,450.1642,25,18,7,10,21402.0,64400.7956,885.8431,25136.0,68251.0,30147.0,4895625,355.7604,"[23, 22, 20, 21, 11, 9, 8, 7, 6, 15, 14, 13, 18, 29, 16, 4, 2, 3, 19, 12, 10, 17, 5, 27, 28]","[23, 22, 20, 21, 11, 9, 8, 7, 6, 15, 14, 13, 18, 29, 16, 4, 2, 3]","[19, 12, 10, 17, 5, 27, 28]","[30, 23, 21, 11, 7, 18, 29, 4, 3, 1]","[1, 31, 30, 23, 22, 20, 21, 11, 9, 8, 7, 6, 15, 14, 13, 18, 29, 16, 4, 2, 3, 1]","[(1, 26), (26, 30), (30, 25), (25, 23), (23, 24), (24, 21), (21, 19), (19, 11), (11, 12), (12, 7), (7, 10), (10, 18), (18, 17), (17, 29), (29, 5), (5, 4), (4, 27), (27, 3), (3, 28), (28, 1)]","[(1, 0.0), (31, 0.0), (30, 0.0), (23, 0.0), (22, 1003.0), (20, 2010.0), (21, 3012.0), (11, 4016.0), (9, 6024.0), (8, 7025.0), (7, 8034.0), (6, 10051.0), (15, 11053.0), (14, 12059.0), (13, 13067.0), (18, 14070.0), (29, 16079.0), (16, 18096.0), (4, 19104.0), (2, 21113.0), (3, 22115.0), (1, 24128.0)]"
VNS,30,5,bench_30_3,ok,-43481.2018,,450.0348,27,19,8,10,22729.0,66210.2018,910.7318,27132.0,68251.0,30147.0,5144415,434.1138,"[23, 20, 21, 11, 9, 8, 7, 6, 15, 14, 13, 18, 29, 16, 4, 2, 3, 30, 31, 10, 12, 19, 5, 17, 27, 28, 26]","[23, 20, 21, 11, 9, 8, 7, 6, 15, 14, 13, 18, 29, 16, 4, 2, 3, 30, 31]","[10, 12, 19, 5, 17, 27, 28, 26]","[23, 21, 8, 15, 29, 4, 3, 30, 31, 1]","[1, 23, 22, 20, 21, 11, 9, 8, 7, 6, 15, 14, 13, 18, 29, 16, 4, 2, 3, 30, 31, 1]","[(1, 25), (25, 23), (23, 24), (24, 21), (21, 10), (10, 8), (8, 12), (12, 15), (15, 19), (19, 29), (29, 5), (5, 4), (4, 17), (17, 3), (3, 27), (27, 30), (30, 28), (28, 31), (31, 26), (26, 1)]","[(1, 0.0), (23, 0.0), (22, 1003.0), (20, 1003.0), (21, 2005.0), (11, 3009.0), (9, 4010.0), (8, 5011.0), (7, 7025.0), (6, 8033.0), (15, 9035.0), (14, 11050.0), (13, 12058.0), (18, 13061.0), (29, 14065.0), (16, 16080.0), (4, 17088.0), (2, 19097.0), (3, 20099.0), (30, 22113.0), (31, 24124.0), (1, 26132.0)]"
VNS,30,9,bench_30_3,ok,-45017.1279,,450.2174,28,19,9,10,23492.0,68509.1279,942.3539,28137.0,68251.0,30147.0,5786006,416.0013,"[20, 21, 11, 9, 8, 7, 6, 15, 14, 13, 18, 17, 29, 16, 4, 2, 3, 30, 31, 25, 10, 12, 19, 5, 23, 27, 28, 26]","[20, 21, 11, 9, 8, 7, 6, 15, 14, 13, 18, 17, 29, 16, 4, 2, 3, 30, 31]","[25, 10, 12, 19, 5, 23, 27, 28, 26]","[22, 11, 8, 13, 29, 4, 3, 30, 31, 1]","[1, 22, 20, 21, 11, 9, 8, 7, 6, 15, 14, 13, 18, 17, 29, 16, 4, 2, 3, 30, 31, 1]","[(1, 24), (24, 22), (22, 25), (25, 11), (11, 10), (10, 8), (8, 12), (12, 13), (13, 19), (19, 29), (29, 5), (5, 4), (4, 23), (23, 3), (3, 27), (27, 30), (30, 28), (28, 31), (31, 26), (26, 1)]","[(1, 0.0), (22, 0.0), (20, 0.0), (21, 1002.0), (11, 2006.0), (9, 4012.0), (8, 5013.0), (7, 7027.0), (6, 8035.0), (15, 9037.0), (14, 10043.0), (13, 11051.0), (18, 13063.0), (17, 14067.0), (29, 15076.0), (16, 17091.0), (4, 18099.0), (2, 20108.0), (3, 21110.0), (30, 23118.0), (31, 25129.0), (1, 27137.0)]"
