factor,n,instance,objective,rental,arrival,time_s,gap_%,n_truck,n_drone,n_rendv,n_items,profit,time_to_best_s,reheats,evals,vD,W_final,W_capacity,truck_node_ids,drone_node_ids,rendezvous_node_ids,truck_route_node_ids,drone_arc_node_ids
0.5,40,bench_40_1,-54556.7038,85449.7038,1175.3742,18.2131,,30,4,4,34,30893.0,18.2129,2,424112,0.5,34152.0,91001.0,"[40, 6, 7, 23, 24, 26, 19, 20, 8, 9, 10, 13, 12, 18, 17, 16, 15, 25, 28, 27, 29, 31, 32, 33, 36, 35, 38, 39, 41, 2]","[14, 30, 34, 37]","[25, 33, 38, 1]","[1, 3, 4, 5, 40, 6, 7, 22, 23, 24, 26, 19, 20, 21, 8, 9, 10, 11, 13, 12, 18, 17, 16, 15, 25, 28, 27, 29, 31, 32, 33, 36, 35, 38, 39, 41, 2, 1]","[(26, 14), (14, 25), (31, 30), (30, 33), (33, 34), (34, 38), (38, 37), (37, 1)]"
0.5,50,bench_50_1,-56017.7096,97913.7096,1346.8186,18.0499,,43,4,4,47,41896.0,7.2401,0,286978,0.5,47210.0,113752.0,"[43, 41, 42, 39, 37, 34, 35, 26, 27, 32, 30, 31, 16, 15, 17, 18, 19, 20, 12, 13, 14, 11, 10, 9, 8, 23, 22, 21, 29, 28, 24, 7, 6, 4, 5, 50, 49, 48, 47, 46, 45, 51, 2]","[44, 38, 25, 3]","[26, 21, 48, 1]","[1, 43, 40, 41, 42, 39, 36, 37, 33, 34, 35, 26, 27, 32, 30, 31, 16, 15, 17, 18, 19, 20, 12, 13, 14, 11, 10, 9, 8, 23, 22, 21, 29, 28, 24, 7, 6, 4, 5, 50, 49, 48, 47, 46, 45, 51, 2, 1]","[(43, 44), (44, 26), (26, 38), (38, 21), (21, 25), (25, 48), (48, 3), (3, 1)]"
0.5,100,bench_100_1,-68656.3692,150509.3692,2070.2802,778.0919,,87,9,9,96,81853.0,778.0917,0,552474,0.5,96389.0,227504.0,"[89, 90, 91, 85, 86, 94, 93, 92, 96, 95, 77, 83, 82, 81, 79, 55, 54, 53, 52, 51, 98, 12, 13, 14, 15, 19, 18, 20, 17, 16, 21, 22, 24, 25, 31, 42, 65, 64, 63, 38, 39, 41, 40, 32, 30, 28, 27, 29, 33, 34, 35, 36, 37, 61, 62, 60, 59, 58, 68, 70, 69, 71, 72, 74, 73, 75, 67, 66, 57, 43, 44, 45, 46, 47, 48, 49, 50, 10, 9, 99, 100, 8, 7, 6, 5, 4, 3]","[87, 84, 78, 76, 23, 26, 97, 101, 2]","[93, 83, 79, 16, 24, 41, 75, 100, 1]","[1, 88, 89, 90, 91, 85, 86, 94, 93, 92, 96, 95, 77, 83, 82, 81, 80, 79, 56, 55, 54, 53, 52, 51, 98, 11, 12, 13, 14, 15, 19, 18, 20, 17, 16, 21, 22, 24, 25, 31, 42, 65, 64, 63, 38, 39, 41, 40, 32, 30, 28, 27, 29, 33, 34, 35, 36, 37, 61, 62, 60, 59, 58, 68, 70, 69, 71, 72, 74, 73, 75, 67, 66, 57, 43, 44, 45, 46, 47, 48, 49, 50, 10, 9, 99, 100, 8, 7, 6, 5, 4, 3, 1]","[(88, 87), (87, 93), (93, 84), (84, 83), (83, 78), (78, 79), (79, 76), (76, 16), (16, 23), (23, 24), (24, 26), (26, 41), (41, 97), (97, 75), (75, 101), (101, 100), (100, 2), (2, 1)]"
1.0,1,bench_1_1,-40645.0,41439.0,570.0,15.0001,,0,1,1,1,794.0,0.0001,624,4539801,1.0,1001.0,2275.0,[],[2],[1],"[1, 1]","[(1, 2), (2, 1)]"
1.0,5,bench_5_1,-39168.7146,41860.7146,575.8008,15.0007,,2,1,1,3,2692.0,0.0099,165,3613384,1.0,3007.0,11375.0,"[3, 6]",[4],[1],"[1, 5, 2, 3, 6, 1]","[(1, 4), (4, 1)]"
1.0,10,bench_10_1,-45579.6434,51945.6434,714.5205,15.0047,,4,3,3,7,6366.0,8.8048,65,2640111,1.0,7016.0,22750.0,"[4, 8, 11, 10]","[5, 6, 9]","[4, 11, 1]","[1, 7, 2, 3, 4, 8, 11, 10, 1]","[(1, 5), (5, 4), (4, 6), (6, 11), (11, 9), (9, 1)]"
1.0,20,bench_20_1,-44395.1312,57512.1312,791.0885,15.1054,,11,4,5,15,13117.0,11.9969,21,1648502,1.0,15070.0,45501.0,"[4, 6, 8, 10, 9, 14, 15, 12, 18, 17, 21]","[7, 16, 19, 20]","[5, 15, 12, 17, 1]","[1, 2, 3, 4, 5, 6, 8, 10, 9, 14, 15, 13, 12, 18, 17, 21, 1]","[(1, 11), (11, 5), (6, 7), (7, 15), (15, 16), (16, 12), (12, 19), (19, 17), (17, 20), (20, 1)]"
1.0,30,bench_30_1,-43420.763,68316.763,939.7079,18.7571,,21,7,8,28,24896.0,18.757,3,435914,1.0,28125.0,68251.0,"[30, 6, 7, 17, 8, 9, 10, 11, 15, 14, 13, 19, 21, 20, 22, 23, 24, 26, 28, 27, 2]","[4, 12, 16, 18, 25, 29, 31]","[6, 10, 13, 22, 26, 28, 2, 1]","[1, 3, 30, 6, 7, 17, 8, 9, 10, 11, 15, 14, 13, 19, 21, 20, 22, 23, 24, 26, 28, 27, 2, 1]","[(1, 5), (5, 6), (6, 4), (4, 10), (10, 12), (12, 13), (13, 16), (16, 22), (22, 18), (18, 26), (26, 25), (25, 28), (28, 29), (29, 2), (2, 31), (31, 1)]"
1.0,40,bench_40_1,-47908.1558,81690.1558,1123.661,50.419,,28,10,10,38,33782.0,50.4189,0,144950,1.0,38180.0,91001.0,"[38, 35, 33, 30, 31, 29, 24, 26, 21, 20, 19, 15, 16, 17, 18, 12, 13, 11, 10, 8, 22, 7, 6, 40, 5, 3, 41, 2]","[36, 32, 28, 25, 14, 9, 23, 4, 39, 37]","[33, 29, 26, 15, 10, 8, 40, 5, 41, 1]","[1, 38, 34, 35, 33, 30, 31, 27, 29, 24, 26, 21, 20, 19, 15, 16, 17, 18, 12, 13, 11, 10, 8, 22, 7, 6, 40, 5, 3, 41, 2, 1]","[(1, 36), (36, 33), (33, 32), (32, 29), (29, 28), (28, 26), (26, 25), (25, 15), (15, 14), (14, 10), (10, 9), (9, 8), (8, 23), (23, 40), (40, 4), (4, 5), (5, 39), (39, 41), (41, 37), (37, 1)]"
1.0,50,bench_50_1,-50898.6128,95095.6128,1308.0552,28.0387,,40,10,10,50,44197.0,28.0386,0,219849,1.0,50223.0,113752.0,"[44, 40, 36, 37, 34, 35, 26, 27, 32, 30, 16, 17, 18, 19, 20, 12, 13, 14, 11, 10, 9, 8, 23, 22, 21, 29, 28, 24, 7, 6, 4, 5, 50, 49, 48, 47, 46, 45, 51, 2]","[43, 39, 38, 33, 31, 15, 3, 25, 42, 41]","[40, 37, 26, 30, 16, 12, 28, 6, 45, 1]","[1, 44, 40, 36, 37, 34, 35, 26, 27, 32, 30, 16, 17, 18, 19, 20, 12, 13, 14, 11, 10, 9, 8, 23, 22, 21, 29, 28, 24, 7, 6, 4, 5, 50, 49, 48, 47, 46, 45, 51, 2, 1]","[(1, 43), (43, 40), (40, 39), (39, 37), (37, 38), (38, 26), (26, 33), (33, 30), (30, 31), (31, 16), (16, 15), (15, 12), (12, 3), (3, 28), (28, 25), (25, 6), (6, 42), (42, 45), (45, 41), (41, 1)]"
