method,n,seed,instance,status,objective,gap_%,time_s,n_items,n_truck,n_drone,n_rendv,profit,rental,arrival,W_final,W_capacity,W_actual,evals,time_to_best_s,reheats,collected_node_ids,truck_node_ids,drone_node_ids,rendezvous_node_ids,truck_route_node_ids,drone_arc_node_ids,W_sequence
SA,5,0,bench_5_3,ok,-27075.2,0.0,10.0003,3,1,2,3,2441.0,29516.2,406.0,3017.0,11375.0,5030.0,1460469,0.1544,66,"[6, 2, 5]",[6],"[2, 5]","[3, 6, 1]","[1, 3, 6, 1]","[(1, 4), (4, 3), (3, 2), (2, 6), (6, 5), (5, 1)]","[(1, 0.0), (3, 0.0), (6, 0.0), (1, 2009.0)]"
SA,5,2,bench_5_3,ok,-27075.2,0.0,10.0003,3,1,2,3,2441.0,29516.2,406.0,3017.0,11375.0,5030.0,1479275,0.0493,67,"[6, 2, 5]",[6],"[2, 5]","[3, 6, 1]","[1, 3, 6, 1]","[(1, 4), (4, 3), (3, 2), (2, 6), (6, 5), (5, 1)]","[(1, 0.0), (3, 0.0), (6, 0.0), (1, 2009.0)]"
SA,5,4,bench_5_3,ok,-27075.2,0.0,10.0003,3,1,2,3,2441.0,29516.2,406.0,3017.0,11375.0,5030.0,1471587,0.0245,67,"[6, 2, 5]",[6],"[2, 5]","[3, 6, 1]","[1, 3, 6, 1]","[(1, 4), (4, 3), (3, 2), (2, 6), (6, 5), (5, 1)]","[(1, 0.0), (3, 0.0), (6, 0.0), (1, 2009.0)]"
SA,5,6,bench_5_3,ok,-27075.2,0.0,10.0003,3,1,2,3,2441.0,29516.2,406.0,3017.0,11375.0,5030.0,1487166,0.0289,68,"[6, 2, 5]",[6],"[2, 5]","[3, 6, 1]","[1, 3, 6, 1]","[(1, 4), (4, 3), (3, 2), (2, 6), (6, 5), (5, 1)]","[(1, 0.0), (3, 0.0), (6, 0.0), (1, 2009.0)]"
SA,5,8,bench_5_3,ok,-27075.2,0.0,10.0003,3,1,2,3,2441.0,29516.2,406.0,3017.0,11375.0,5030.0,1468550,0.1685,67,"[6, 2, 5]",[6],"[2, 5]","[3, 6, 1]","[1, 3, 6, 1]","[(1, 4), (4, 3), (3, 2), (2, 6), (6, 5), (5, 1)]","[(1, 0.0), (3, 0.0), (6, 0.0), (1, 2009.0)]"
SA,5,0,bench_5_4,ok,-29738.1319,-0.0002,10.0003,2,0,2,3,1870.0,31608.1319,434.7749,2010.0,11375.0,5025.0,1587740,0.177,72,"[3, 6]",[],"[3, 6]","[4, 5, 1]","[1, 4, 5, 1]","[(1, 2), (2, 4), (4, 3), (3, 5), (5, 6), (6, 1)]","[(1, 0.0), (4, 0.0), (5, 0.0), (1, 1003.0)]"
SA,5,2,bench_5_4,ok,-29738.1319,-0.0002,10.0003,2,0,2,3,1870.0,31608.1319,434.7749,2010.0,11375.0,5025.0,1586660,0.1866,72,"[3, 6]",[],"[3, 6]","[4, 5, 1]","[1, 4, 5, 1]","[(1, 2), (2, 4), (4, 3), (3, 5), (5, 6), (6, 1)]","[(1, 0.0), (4, 0.0), (5, 0.0), (1, 1003.0)]"
SA,5,4,bench_5_4,ok,-29738.1319,-0.0002,10.0003,2,0,2,3,1870.0,31608.1319,434.7749,2010.0,11375.0,5025.0,1592262,0.0595,72,"[3, 6]",[],"[3, 6]","[4, 5, 1]","[1, 4, 5, 1]","[(1, 2), (2, 4), (4, 3), (3, 5), (5, 6), (6, 1)]","[(1, 0.0), (4, 0.0), (5, 0.0), (1, 1003.0)]"
SA,5,6,bench_5_4,ok,-29738.1319,-0.0002,10.0003,2,0,2,3,1870.0,31608.1319,434.7749,2010.0,11375.0,5025.0,1582168,0.0468,72,"[3, 6]",[],"[3, 6]","[4, 5, 1]","[1, 4, 5, 1]","[(1, 2), (2, 4), (4, 3), (3, 5), (5, 6), (6, 1)]","[(1, 0.0), (4, 0.0), (5, 0.0), (1, 1003.0)]"
SA,5,8,bench_5_4,ok,-29738.1319,-0.0002,10.0003,2,0,2,3,1870.0,31608.1319,434.7749,2010.0,11375.0,5025.0,1588119,0.0462,72,"[3, 6]",[],"[3, 6]","[4, 5, 1]","[1, 4, 5, 1]","[(1, 2), (2, 4), (4, 3), (3, 5), (5, 6), (6, 1)]","[(1, 0.0), (4, 0.0), (5, 0.0), (1, 1003.0)]"
