n,instance,mi_objective,si_objective,delta_obj,cities_collected,total_items,avg_items_per_city,multi_pick_cities,max_items_one_city,items_dist,W_collected,W_capacity,W_actual,cap_util_%,profit,n_truck_cities,n_drone_cities,time_s
5,bench_5_1,-28889.6626,-30367.6626,1478.0,2,6,3.0,1,5,"{1: 1, 5: 1}",6024.0,11375.0,25123.0,53.0,3422.0,1,1,4.0
10,bench_10_1,-34254.8456,-37643.0869,3388.2413,5,16,3.2,5,5,"{2: 2, 3: 1, 4: 1, 5: 1}",16074.0,22750.0,50241.0,70.7,10831.0,2,3,4.0
