n,instance,seed,frac_label,frac,lisa_budget_s,sa_full_budget_s,GAT_beam,SA_scratch_frac,SA_warm_frac,PORTFOLIO_frac,winner,SA_full_best,gap_vs_SAfull_%,gat_gap_vs_SAfull_%
50,bench_50_2,1,25%,0.2500,187.50,750.0,-70437.4,-43392.3,-39534.3,-39534.3,PORTF,-37492.6,+5.446,+87.870
50,bench_50_3,1,25%,0.2500,187.50,750.0,-61156.1,-41652.5,-44750.8,-41652.5,PORTF,-39688.3,+4.949,+54.091
50,bench_50_4,1,25%,0.2500,187.50,750.0,-56164.9,-43772.8,-40739.3,-40739.3,PORTF,-35458.6,+14.892,+58.396
50,bench_50_1,1,33.33%,0.3333,250.00,750.0,-60088.5,-37204.8,-38763.6,-37204.8,PORTF,-35221.8,+5.630,+70.600
50,bench_50_2,1,33.33%,0.3333,250.00,750.0,-70437.4,-43392.3,-39534.3,-39534.3,PORTF,-37492.6,+5.446,+87.870
50,bench_50_3,1,33.33%,0.3333,250.00,750.0,-61156.1,-41652.5,-44513.0,-41652.5,PORTF,-39688.3,+4.949,+54.091
50,bench_50_4,1,33.33%,0.3333,250.00,750.0,-56164.9,-38103.7,-40739.3,-38103.7,PORTF,-35458.6,+7.460,+58.396
50,bench_50_1,1,50%,0.5000,375.00,750.0,-60088.5,-37204.8,-38763.6,-37204.8,PORTF,-35221.8,+5.630,+70.600
50,bench_50_2,1,50%,0.5000,375.00,750.0,-70437.4,-43392.3,-39534.3,-39534.3,PORTF,-37492.6,+5.446,+87.870
50,bench_50_3,1,50%,0.5000,375.00,750.0,-61156.1,-41652.5,-44750.8,-41652.5,PORTF,-39688.3,+4.949,+54.091
50,bench_50_4,1,50%,0.5000,375.00,750.0,-56164.9,-38104.6,-40739.3,-38104.6,PORTF,-35458.6,+7.462,+58.396
50,bench_50_1,2,5%,0.0500,37.50,750.0,-60088.5,-38942.6,-40207.4,-38942.6,PORTF,-35221.8,+10.564,+70.600
50,bench_50_2,2,5%,0.0500,37.50,750.0,-70437.4,-45160.5,-47061.5,-45160.5,PORTF,-37492.6,+20.452,+87.870
50,bench_50_3,2,5%,0.0500,37.50,750.0,-61156.1,-44662.1,-45735.9,-44662.1,PORTF,-39688.3,+12.532,+54.091
50,bench_50_4,2,5%,0.0500,37.50,750.0,-56164.9,-42146.6,-41422.2,-41422.2,PORTF,-35458.6,+16.818,+58.396
50,bench_50_1,2,10%,0.1000,75.00,750.0,-60088.5,-38942.6,-38941.5,-38941.5,PORTF,-35221.8,+10.561,+70.600
50,bench_50_2,2,10%,0.1000,75.00,750.0,-70437.4,-45160.5,-40345.2,-40345.2,PORTF,-37492.6,+7.608,+87.870
50,bench_50_3,2,10%,0.1000,75.00,750.0,-61156.1,-43814.6,-42355.3,-42355.3,PORTF,-39688.3,+6.720,+54.091
50,bench_50_4,2,10%,0.1000,75.00,750.0,-56164.9,-40988.0,-41422.2,-40988.0,PORTF,-35458.6,+15.594,+58.396
50,bench_50_1,2,20%,0.2000,150.00,750.0,-60088.5,-38942.6,-38941.5,-38941.5,PORTF,-35221.8,+10.561,+70.600
50,bench_50_2,2,20%,0.2000,150.00,750.0,-70437.4,-42132.7,-41760.9,-41760.9,PORTF,-37492.6,+11.384,+87.870
50,bench_50_3,2,20%,0.2000,150.00,750.0,-61156.1,-43814.6,-42355.3,-42355.3,PORTF,-39688.3,+6.720,+54.091
50,bench_50_4,2,20%,0.2000,150.00,750.0,-56164.9,-40988.0,-41422.2,-40988.0,PORTF,-35458.6,+15.594,+58.396
50,bench_50_1,2,25%,0.2500,187.50,750.0,-60088.5,-36970.9,-37724.6,-36970.9,PORTF,-35221.8,+4.966,+70.600
50,bench_50_2,2,25%,0.2500,187.50,750.0,-70437.4,-42718.1,-41601.1,-41601.1,PORTF,-37492.6,+10.958,+87.870
50,bench_50_3,2,25%,0.2500,187.50,750.0,-61156.1,-43814.6,-42355.3,-42355.3,PORTF,-39688.3,+6.720,+54.091
50,bench_50_4,2,25%,0.2500,187.50,750.0,-56164.9,-40988.0,-41422.2,-40988.0,PORTF,-35458.6,+15.594,+58.396
50,bench_50_1,2,33.33%,0.3333,250.00,750.0,-60088.5,-36331.4,-35725.1,-35725.1,PORTF,-35221.8,+1.429,+70.600
50,bench_50_2,2,33.33%,0.3333,250.00,750.0,-70437.4,-40910.8,-41760.9,-40910.8,PORTF,-37492.6,+9.117,+87.870
50,bench_50_3,2,33.33%,0.3333,250.00,750.0,-61156.1,-43814.6,-42209.3,-42209.3,PORTF,-39688.3,+6.352,+54.091
50,bench_50_4,2,33.33%,0.3333,250.00,750.0,-56164.9,-40988.0,-40295.8,-40295.8,PORTF,-35458.6,+13.642,+58.396
50,bench_50_1,2,50%,0.5000,375.00,750.0,-60088.5,-36331.4,-37235.1,-36331.4,PORTF,-35221.8,+3.150,+70.600
50,bench_50_2,2,50%,0.5000,375.00,750.0,-70437.4,-39071.7,-39939.1,-39071.7,PORTF,-37492.6,+4.212,+87.870
50,bench_50_3,2,50%,0.5000,375.00,750.0,-61156.1,-43814.6,-41968.4,-41968.4,PORTF,-39688.3,+5.745,+54.091
50,bench_50_4,2,50%,0.5000,375.00,750.0,-56164.9,-40988.0,-40295.8,-40295.8,PORTF,-35458.6,+13.642,+58.396
