n,instance,frac_label,frac,lisa_budget_s,sa_full_budget_s,GAT_beam,SA_scratch_frac,SA_warm_frac,PORTFOLIO_frac,SA_full_best_corrected,gap_vs_SAfull_%,gat_gap_vs_SAfull_%
10,bench_10_2,5%,0.0500,1.50,30.0,-39787.7,-39603.5,-39491.0,-39491.0,-38915.5,+1.479,+2.241
10,bench_10_3,5%,0.0500,1.50,30.0,-29226.5,-29092.9,-28383.0,-28383.0,-28383.0,+0.000,+2.972
10,bench_10_4,5%,0.0500,1.50,30.0,-37134.5,-37514.0,-37134.5,-37134.5,-36395.7,+2.030,+2.030
10,bench_10_1,10%,0.1000,3.00,30.0,-37643.1,-37643.1,-37643.1,-37643.1,-37643.1,+0.000,+0.000
10,bench_10_2,10%,0.1000,3.00,30.0,-39787.7,-38951.4,-39491.0,-38951.4,-38915.5,+0.092,+2.241
10,bench_10_3,10%,0.1000,3.00,30.0,-29226.5,-29092.9,-28383.0,-28383.0,-28383.0,+0.000,+2.972
10,bench_10_4,10%,0.1000,3.00,30.0,-37134.5,-37141.3,-37134.5,-37134.5,-36395.7,+2.030,+2.030
10,bench_10_1,20%,0.2000,6.00,30.0,-37643.1,-37643.1,-37643.1,-37643.1,-37643.1,+0.000,+0.000
10,bench_10_2,20%,0.2000,6.00,30.0,-39787.7,-38951.4,-38915.5,-38915.5,-38915.5,-0.000,+2.241
10,bench_10_3,20%,0.2000,6.00,30.0,-29226.5,-29092.9,-28383.0,-28383.0,-28383.0,+0.000,+2.972
10,bench_10_4,20%,0.2000,6.00,30.0,-37134.5,-37103.6,-37134.5,-37103.6,-36395.7,+1.945,+2.030
10,bench_10_1,25%,0.2500,7.50,30.0,-37643.1,-37643.1,-37643.1,-37643.1,-37643.1,+0.000,+0.000
10,bench_10_2,25%,0.2500,7.50,30.0,-39787.7,-38951.4,-38915.5,-38915.5,-38915.5,-0.000,+2.241
10,bench_10_3,25%,0.2500,7.50,30.0,-29226.5,-29063.9,-28383.0,-28383.0,-28383.0,+0.000,+2.972
10,bench_10_4,25%,0.2500,7.50,30.0,-37134.5,-37103.6,-37134.5,-37103.6,-36395.7,+1.945,+2.030
10,bench_10_1,33.33%,0.3333,10.00,30.0,-37643.1,-37643.1,-37643.1,-37643.1,-37643.1,+0.000,+0.000
10,bench_10_2,33.33%,0.3333,10.00,30.0,-39787.7,-38951.4,-38915.5,-38915.5,-38915.5,-0.000,+2.241
10,bench_10_3,33.33%,0.3333,10.00,30.0,-29226.5,-28383.0,-28383.0,-28383.0,-28383.0,+0.000,+2.972
10,bench_10_4,33.33%,0.3333,10.00,30.0,-37134.5,-37103.6,-37134.5,-37103.6,-36395.7,+1.945,+2.030
10,bench_10_1,50%,0.5000,15.00,30.0,-37643.1,-37643.1,-37643.1,-37643.1,-37643.1,+0.000,+0.000
10,bench_10_2,50%,0.5000,15.00,30.0,-39787.7,-38951.4,-38977.0,-38951.4,-38915.5,+0.092,+2.241
10,bench_10_3,50%,0.5000,15.00,30.0,-29226.5,-28383.0,-28383.0,-28383.0,-28383.0,+0.000,+2.972
10,bench_10_4,50%,0.5000,15.00,30.0,-37134.5,-36395.7,-37134.5,-36395.7,-36395.7,+0.000,+2.030
15,bench_15_1,5%,0.0500,6.00,120.0,-37052.4,-37043.4,-37000.1,-37000.1,-36385.6,+1.689,+1.833
15,bench_15_2,5%,0.0500,6.00,120.0,-41734.6,-41828.0,-40968.0,-40968.0,-39719.5,+3.143,+5.073
15,bench_15_3,5%,0.0500,6.00,120.0,-38686.2,-37707.5,-38644.8,-37707.5,-36293.6,+3.896,+6.592
15,bench_15_4,5%,0.0500,6.00,120.0,-34589.6,-35546.2,-34589.6,-34589.6,-34558.1,+0.091,+0.091
15,bench_15_1,10%,0.1000,12.00,120.0,-37052.4,-37043.4,-37000.1,-37000.1,-36385.6,+1.689,+1.833
15,bench_15_2,10%,0.1000,12.00,120.0,-41734.6,-41828.0,-40968.0,-40968.0,-39719.5,+3.143,+5.073
15,bench_15_3,10%,0.1000,12.00,120.0,-38686.2,-36293.6,-38644.8,-36293.6,-36293.6,+0.000,+6.592
15,bench_15_4,10%,0.1000,12.00,120.0,-34589.6,-35546.2,-34589.6,-34589.6,-34558.1,+0.091,+0.091
15,bench_15_1,20%,0.2000,24.00,120.0,-37052.4,-37043.4,-37000.1,-37000.1,-36385.6,+1.689,+1.833
15,bench_15_2,20%,0.2000,24.00,120.0,-41734.6,-41828.0,-40968.0,-40968.0,-39719.5,+3.143,+5.073
15,bench_15_3,20%,0.2000,24.00,120.0,-38686.2,-36293.6,-38644.8,-36293.6,-36293.6,+0.000,+6.592
15,bench_15_4,20%,0.2000,24.00,120.0,-34589.6,-35546.2,-34589.6,-34589.6,-34558.1,+0.091,+0.091
15,bench_15_1,25%,0.2500,30.00,120.0,-37052.4,-37043.4,-37000.1,-37000.1,-36385.6,+1.689,+1.833
15,bench_15_2,25%,0.2500,30.00,120.0,-41734.6,-42156.7,-39854.0,-39854.0,-39719.5,+0.339,+5.073
15,bench_15_3,25%,0.2500,30.00,120.0,-38686.2,-36293.6,-38644.8,-36293.6,-36293.6,+0.000,+6.592
15,bench_15_4,25%,0.2500,30.00,120.0,-34589.6,-35546.2,-34589.6,-34589.6,-34558.1,+0.091,+0.091
15,bench_15_1,33.33%,0.3333,40.00,120.0,-37052.4,-37043.4,-36385.6,-36385.6,-36385.6,-0.000,+1.833
15,bench_15_2,33.33%,0.3333,40.00,120.0,-41734.6,-41070.6,-39854.0,-39854.0,-39719.5,+0.339,+5.073
15,bench_15_3,33.33%,0.3333,40.00,120.0,-38686.2,-36293.6,-38644.8,-36293.6,-36293.6,+0.000,+6.592
15,bench_15_4,33.33%,0.3333,40.00,120.0,-34589.6,-35546.2,-34589.6,-34589.6,-34558.1,+0.091,+0.091
15,bench_15_1,50%,0.5000,60.00,120.0,-37052.4,-37043.4,-36385.6,-36385.6,-36385.6,-0.000,+1.833
15,bench_15_2,50%,0.5000,60.00,120.0,-41734.6,-41070.6,-39854.0,-39854.0,-39719.5,+0.339,+5.073
15,bench_15_3,50%,0.5000,60.00,120.0,-38686.2,-36293.6,-38005.8,-36293.6,-36293.6,+0.000,+6.592
15,bench_15_4,50%,0.5000,60.00,120.0,-34589.6,-35546.2,-34589.6,-34589.6,-34558.1,+0.091,+0.091
20,bench_20_1,5%,0.0500,15.00,300.0,-40121.2,-41639.4,-40090.7,-40090.7,-40090.7,-0.000,+0.076
20,bench_20_2,5%,0.0500,15.00,300.0,-40499.6,-41125.1,-40499.6,-40499.6,-38826.7,+4.309,+4.309
20,bench_20_3,5%,0.0500,15.00,300.0,-39178.5,-35533.6,-36490.5,-35533.6,-35024.7,+1.453,+11.860
20,bench_20_4,5%,0.0500,15.00,300.0,-37543.5,-37148.2,-37106.2,-37106.2,-35251.9,+5.260,+6.501
20,bench_20_1,10%,0.1000,30.00,300.0,-40121.2,-40090.7,-40090.7,-40090.7,-40090.7,-0.000,+0.076
20,bench_20_2,10%,0.1000,30.00,300.0,-40499.6,-38826.7,-40499.6,-38826.7,-38826.7,+0.000,+4.309
20,bench_20_3,10%,0.1000,30.00,300.0,-39178.5,-35533.6,-36490.5,-35533.6,-35024.7,+1.453,+11.860
20,bench_20_4,10%,0.1000,30.00,300.0,-37543.5,-38806.7,-37106.2,-37106.2,-35251.9,+5.260,+6.501
20,bench_20_1,20%,0.2000,60.00,300.0,-40121.2,-40193.1,-40090.7,-40090.7,-40090.7,-0.000,+0.076
