n,ED_frac,param,value,n_layouts,objective,rental,arrival,n_truck,n_drone,n_rendv,n_items,profit,time_to_best_s,evals
10,0.75,Wcap,0.5,1,-36193.5,39537.5,790.7,2.0,2.0,4.0,4.0,3344.0,0.1,14248676.0
10,0.75,Wcap,1,1,-34623.1,40668.1,813.4,4.0,3.0,4.0,7.0,6045.0,0.1,14252842.0
10,0.75,Wcap,2,1,-32506.3,41079.3,821.6,6.0,4.0,4.0,10.0,8573.0,0.1,14079096.0
10,0.75,Wcap,4,1,-30975.2,39548.2,791.0,6.0,4.0,4.0,10.0,8573.0,2.5,14444983.0
10,0.75,baseline,-,1,-34623.1,40668.1,813.4,4.0,3.0,4.0,7.0,6045.0,0.1,13932030.0
10,0.75,vDfact,0.5,1,-41515.1,46061.1,921.2,4.0,1.0,2.0,5.0,4546.0,2.2,18942179.0
10,0.75,vDfact,1,1,-38215.1,46064.1,921.3,5.0,4.0,4.0,9.0,7849.0,2.5,15955204.0
10,0.75,vDfact,2,1,-34623.1,40668.1,813.4,4.0,3.0,4.0,7.0,6045.0,0.1,14110907.0
10,0.75,vDfact,3,1,-33876.9,39040.9,780.8,3.0,3.0,4.0,6.0,5164.0,7.4,13691915.0
10,0.75,vDfact,4,1,-33876.9,39040.9,780.8,3.0,3.0,4.0,6.0,5164.0,20.7,13760590.0
10,0.75,vmin,0.05,1,-34792.2,40837.2,816.7,4.0,3.0,4.0,7.0,6045.0,0.2,14121752.0
10,0.75,vmin,0.1,1,-34623.1,40668.1,813.4,4.0,3.0,4.0,7.0,6045.0,0.1,14267529.0
10,0.75,vmin,0.25,1,-34115.3,41138.3,822.8,5.0,3.0,4.0,8.0,7023.0,0.2,13995571.0
10,0.75,vmin,0.5,1,-32808.4,40657.4,813.1,5.0,4.0,4.0,9.0,7849.0,0.5,14314926.0
10,0.75,vmin,0.9,1,-30206.1,38779.1,775.6,6.0,4.0,4.0,10.0,8573.0,0.5,14381002.0
