factor,dataset,n,layout,ED_frac,ED,d_max,instance,seed,status,objective,profit,rental,arrival,time_s,time_to_best_s,n_items,n_truck,n_drone,n_rendv,W_final,W_capacity,evals,reheats,error,vD
0.5,ttd300,20,1,0.5,192.0,384.0,ttd300_n20_L1_f050,1,ok,-57579.8777,12332.0,69911.8777,1398.2376,300.0275,200.1729,14,11,3,3,14064.0,45501.0,33075615,432,,0.5
1,ttd300,20,1,0.5,192.0,384.0,ttd300_n20_L1_f050,1,ok,-52122.495,13218.0,65340.495,1306.8099,300.0438,140.3784,15,10,5,6,15068.0,45501.0,29710620,388,,1.0
2,ttd300,20,1,0.5,192.0,384.0,ttd300_n20_L1_f050,1,ok,-48704.9604,14158.0,62862.9604,1257.2592,300.0921,300.092,16,9,7,8,16068.0,45501.0,27264090,356,,2.0
3,ttd300,20,1,0.5,192.0,384.0,ttd300_n20_L1_f050,1,ok,-47410.4947,14840.0,62250.4947,1245.0099,300.1011,300.1011,17,9,8,8,17066.0,45501.0,26736916,349,,3.0
0,ttd300,20,1,0.75,288.0,384.0,ttd300_n20_L1_f075,1,ok,-67028.8303,7345.0,74373.8303,1487.4766,300.0349,0.043,8,8,0,0,8024.0,45501.0,37563621,491,,1e-06
0.5,ttd300,20,1,0.75,288.0,384.0,ttd300_n20_L1_f075,1,ok,-50335.921,12918.0,63253.921,1265.0784,300.0248,21.253,15,13,2,2,15062.0,45501.0,32970439,431,,0.5
1,ttd300,20,1,0.75,288.0,384.0,ttd300_n20_L1_f075,1,ok,-47050.4429,17523.0,64573.4429,1291.4689,300.032,192.3113,20,15,5,5,20078.0,45501.0,29440628,384,,1.0
3,ttd300,20,1,0.75,288.0,384.0,ttd300_n20_L1_f075,1,ok,-24856.7021,17523.0,42379.7021,847.594,300.2169,229.3657,20,11,9,9,20078.0,45501.0,24713622,322,,3.0
2,ttd300,20,1,0.75,288.0,384.0,ttd300_n20_L1_f075,1,ok,-29438.8579,17523.0,46961.8579,939.2372,300.2974,300.2974,20,11,9,9,20078.0,45501.0,25134547,328,,2.0
0,ttd300,20,1,1.0,384.0,384.0,ttd300_n20_L1_f100,1,ok,-67028.8303,7345.0,74373.8303,1487.4766,300.0432,0.0536,8,8,0,0,8024.0,45501.0,38207860,500,,1e-06
0.5,ttd300,20,1,1.0,384.0,384.0,ttd300_n20_L1_f100,1,ok,-48907.7355,13872.0,62779.7355,1255.5947,300.0415,28.1271,16,13,3,3,16066.0,45501.0,33569726,439,,0.5
2,ttd300,20,1,1.0,384.0,384.0,ttd300_n20_L1_f100,1,ok,-27953.0771,17523.0,45476.0771,909.5215,300.1361,138.0642,20,14,6,6,20078.0,45501.0,25820639,337,,2.0
1,ttd300,20,1,1.0,384.0,384.0,ttd300_n20_L1_f100,1,ok,-41645.6409,17523.0,59168.6409,1183.3728,300.2117,10.5591,20,13,7,7,20078.0,45501.0,30271898,395,,1.0
3,ttd300,20,1,1.0,384.0,384.0,ttd300_n20_L1_f100,1,ok,-22423.237,17523.0,39946.237,798.9247,300.1325,300.1324,20,10,10,10,20078.0,45501.0,24936840,325,,3.0
0,ttd300,30,1,0.25,94.0,374.0,ttd300_n30_L1_f025,1,ok,-65791.0826,17976.0,83767.0826,1675.3417,450.0204,0.7742,21,21,0,0,21108.0,68251.0,43076147,382,,1e-06
0.5,ttd300,30,1,0.25,94.0,374.0,ttd300_n30_L1_f025,1,ok,-59666.25,18707.0,78373.25,1567.465,450.0375,81.2964,22,20,2,3,22112.0,68251.0,39656292,351,,0.5
