n,ED_frac,factor,n_layouts,objective,rental,arrival,n_truck,n_drone,n_rendv,n_items,profit,time_to_best_s,evals
30,0.75,2.0,1,-30403.5,55071.5,1101.4,18.0,11.0,11.0,29.0,24668.0,450.2,29996735.0
30,0.75,3.0,1,-24689.2,49357.2,987.1,15.0,14.0,15.0,29.0,24668.0,358.7,28498655.0
30,1.0,0.0,1,-69372.9,83543.9,1670.9,16.0,0.0,0.0,16.0,14171.0,0.1,46390191.0
30,1.0,0.5,1,-51687.3,73245.3,1464.9,23.0,2.0,3.0,25.0,21558.0,4.1,38801646.0
30,1.0,1.0,1,-40681.4,64560.4,1291.2,22.0,6.0,7.0,28.0,23879.0,451.2,33786617.0
30,1.0,2.0,1,-29843.0,55066.0,1101.3,16.0,14.0,14.0,30.0,25223.0,116.2,29935836.0
30,1.0,3.0,1,-23335.6,48025.6,960.5,16.0,13.0,14.0,29.0,24690.0,395.5,28648292.0
40,0.25,0.0,1,-61253.8,88748.8,1775.0,31.0,0.0,0.0,31.0,27495.0,11.1,46888927.0
40,0.25,0.5,1,-55519.6,87719.6,1754.4,34.0,3.0,4.0,37.0,32200.0,82.8,44439473.0
40,0.25,1.0,1,-49771.3,81971.3,1639.4,26.0,11.0,12.0,37.0,32200.0,600.1,40413145.0
40,0.25,2.0,1,-43626.3,75418.3,1508.4,24.0,12.0,14.0,36.0,31792.0,262.2,37660229.0
40,0.25,3.0,1,-42678.7,74516.7,1490.3,22.0,14.0,16.0,36.0,31838.0,478.1,37976639.0
40,0.5,0.0,1,-63498.0,91217.0,1824.3,31.0,0.0,0.0,31.0,27719.0,0.1,47390697.0
40,0.5,0.5,1,-52149.5,83282.5,1665.7,32.0,4.0,5.0,36.0,31133.0,600.4,42310783.0
40,0.5,1.0,1,-42051.0,73889.0,1477.8,27.0,9.0,11.0,36.0,31838.0,600.2,36462819.0
40,0.5,2.0,1,-32699.1,66357.1,1327.1,23.0,16.0,16.0,39.0,33658.0,67.5,33798752.0
40,0.5,3.0,1,-30772.3,65190.3,1303.8,21.0,19.0,19.0,40.0,34418.0,32.9,33397340.0
40,0.75,0.0,1,-63498.0,91217.0,1824.3,31.0,0.0,0.0,31.0,27719.0,0.1,48840126.0
40,0.75,0.5,1,-50573.4,82629.4,1652.6,33.0,4.0,4.0,37.0,32056.0,475.0,42325236.0
40,0.75,1.0,1,-41720.2,73558.2,1471.2,28.0,8.0,10.0,36.0,31838.0,600.3,36188669.0
40,0.75,2.0,1,-32803.7,67221.7,1344.4,23.0,17.0,17.0,40.0,34418.0,194.3,33899564.0
40,0.75,3.0,1,-28264.1,61418.1,1228.4,22.0,16.0,17.0,38.0,33154.0,420.7,33476244.0
40,1.0,0.0,1,-63498.0,91217.0,1824.3,31.0,0.0,0.0,31.0,27719.0,0.1,49887673.0
40,1.0,0.5,1,-51382.3,83438.3,1668.8,33.0,4.0,4.0,37.0,32056.0,444.9,42864049.0
40,1.0,1.0,1,-40531.9,73129.9,1462.6,27.0,10.0,10.0,37.0,32598.0,606.1,35683049.0
40,1.0,2.0,1,-32515.4,66933.4,1338.7,24.0,16.0,16.0,40.0,34418.0,98.3,33873936.0
40,1.0,3.0,1,-27742.3,61498.3,1230.0,22.0,17.0,17.0,39.0,33756.0,9.8,32809179.0
50,0.25,0.0,1,-76863.6,111443.6,2228.9,40.0,0.0,0.0,40.0,34580.0,750.2,49841008.0
50,0.25,0.5,1,-56178.3,94240.3,1884.8,40.0,6.0,6.0,46.0,38062.0,750.6,45893250.0
50,0.25,1.0,1,-50965.4,91047.4,1820.9,36.0,13.0,13.0,49.0,40082.0,750.1,40772458.0
50,0.25,2.0,1,-45766.8,85123.8,1702.5,30.0,18.0,18.0,48.0,39357.0,107.7,39356856.0
50,0.25,3.0,1,-42851.4,82933.4,1658.7,30.0,19.0,19.0,49.0,40082.0,327.2,39098394.0
50,0.5,0.0,1,-77069.0,111649.0,2233.0,40.0,0.0,0.0,40.0,34580.0,750.1,50166440.0
50,0.5,0.5,1,-54750.8,92022.8,1840.5,41.0,4.0,5.0,45.0,37272.0,750.8,43381908.0
50,0.5,1.0,1,-40610.4,79967.4,1599.3,38.0,10.0,10.0,48.0,39357.0,750.3,39530481.0
50,0.5,2.0,1,-27173.0,67784.0,1355.7,29.0,21.0,21.0,50.0,40611.0,750.1,37000121.0
50,0.5,3.0,1,-27115.3,67197.3,1343.9,29.0,20.0,20.0,49.0,40082.0,691.6,35845865.0
50,0.75,0.0,1,-78498.5,112580.5,2251.6,39.0,0.0,0.0,39.0,34082.0,750.2,51782267.0
50,0.75,0.5,1,-53983.4,90944.4,1818.9,39.0,5.0,5.0,44.0,36961.0,751.2,43830704.0
50,0.75,1.0,1,-41498.8,81057.8,1621.2,36.0,12.0,12.0,48.0,39559.0,752.8,39495798.0
50,0.75,2.0,1,-27165.9,67776.9,1355.5,32.0,18.0,18.0,50.0,40611.0,750.1,36424081.0
50,0.75,3.0,1,-24488.1,65099.1,1302.0,27.0,23.0,23.0,50.0,40611.0,404.5,35338503.0
50,1.0,0.0,1,-76518.6,110993.6,2219.9,40.0,0.0,0.0,40.0,34475.0,750.3,53041494.0
50,1.0,0.5,1,-53072.5,91152.5,1823.1,40.0,6.0,6.0,46.0,38080.0,756.2,44025439.0
50,1.0,1.0,1,-41914.6,81996.6,1639.9,39.0,10.0,10.0,49.0,40082.0,752.0,39605573.0
50,1.0,2.0,1,-27858.4,67940.4,1358.8,31.0,18.0,18.0,49.0,40082.0,750.1,36283752.0
50,1.0,3.0,1,-21902.2,62513.2,1250.3,31.0,19.0,19.0,50.0,40611.0,687.5,35196847.0
75,0.25,0.0,1,-66535.9,120394.9,2407.9,65.0,0.0,0.0,65.0,53859.0,203.4,47597710.0
75,0.25,0.5,1,-58582.8,114268.8,2285.4,58.0,10.0,10.0,68.0,55686.0,978.0,41701445.0
75,0.25,1.0,1,-50756.9,107858.9,2157.2,52.0,19.0,19.0,71.0,57102.0,975.3,39224502.0
75,0.25,2.0,1,-42879.8,100567.8,2011.4,42.0,30.0,30.0,72.0,57688.0,975.3,37364060.0
75,0.25,3.0,1,-41332.6,98035.6,1960.7,41.0,29.0,31.0,70.0,56703.0,975.3,37282383.0
75,0.5,0.0,1,-80272.5,135089.5,2701.8,68.0,0.0,0.0,68.0,54817.0,975.3,48328485.0
75,0.5,0.5,1,-56289.1,112534.1,2250.7,60.0,9.0,9.0,69.0,56245.0,1025.1,40419922.0
75,0.5,1.0,1,-46723.2,103903.2,2078.1,58.0,14.0,15.0,72.0,57180.0,975.5,37971014.0
75,0.5,2.0,1,-33963.2,91994.2,1839.9,47.0,26.0,26.0,73.0,58031.0,975.4,35565642.0
75,0.5,3.0,1,-26822.0,84936.0,1698.7,43.0,30.0,30.0,73.0,58114.0,975.7,35147361.0
75,0.75,0.0,1,-80434.1,135251.1,2705.0,68.0,0.0,0.0,68.0,54817.0,1.0,49734907.0
