n,instance,mi_objective,si_objective,delta_obj,cities_collected,total_items,avg_items_per_city,multi_pick_cities,max_items_one_city,items_dist,W_collected,W_capacity,W_actual,cap_util_%,profit,n_truck_cities,n_drone_cities,time_s
30,bench_30_1,-25270.108,-35081.3565,9811.2485,21,52,2.476,16,5,"{1: 5, 2: 8, 3: 3, 4: 3, 5: 2}",52237.0,68251.0,150701.0,76.5,38361.0,12,9,450.0
40,bench_40_1,-21796.9733,-34992.7126,13195.7393,30,77,2.567,23,5,"{1: 7, 2: 7, 3: 11, 4: 2, 5: 3}",77362.0,91001.0,200912.0,85.0,58137.0,18,12,600.0
50,bench_50_1,-15627.7945,-35983.6578,20355.8633,40,102,2.55,30,5,"{1: 10, 2: 8, 3: 14, 4: 6, 5: 2}",102449.0,113752.0,251142.0,90.1,77666.0,28,12,750.01
100,bench_100_1,-5330.4866,-42019.0759,36688.5893,80,192,2.4,57,5,"{1: 23, 2: 24, 3: 15, 4: 14, 5: 4}",192850.0,227504.0,502260.0,84.8,140959.0,60,20,1200.04
