param,value,objective,rental,arrival,time_s,gap_%,n_truck,n_drone,n_rendv,n_items,profit,R,Wcap,vmin,vD,W_final,truck_node_ids,drone_node_ids,rendezvous_node_ids
baseline,-,-36468.7852,45839.7852,630.5335,120.0432,,6,5,7,11,9371.0,72.7,34126.0,0.1,2.0,11052.0,"[9, 6, 10, 4, 3, 2]","[13, 8, 7, 14, 15]","[16, 12, 9, 6, 10, 2, 1]"
R,1.0,11261.2392,681.7608,681.7608,120.0472,,8,7,7,15,11943.0,1.0,34126.0,0.1,2.0,15068.0,"[11, 13, 12, 6, 10, 4, 3, 2]","[14, 9, 7, 8, 5, 16, 15]","[11, 12, 6, 10, 4, 2, 1]"
R,18.18,-565.3675,12508.3675,688.029,120.0467,,8,7,7,15,11943.0,18.18,34126.0,0.1,2.0,15068.0,"[16, 12, 9, 6, 10, 4, 3, 2]","[11, 13, 8, 7, 14, 5, 15]","[16, 12, 9, 6, 4, 2, 1]"
R,36.35,-12878.6194,24319.6194,669.0404,120.0441,,8,6,7,14,11441.0,36.35,34126.0,0.1,2.0,14064.0,"[16, 12, 9, 6, 10, 4, 3, 2]","[14, 13, 7, 8, 5, 15]","[16, 12, 9, 6, 4, 2, 1]"
R,72.7,-36468.7852,45839.7852,630.5335,120.0433,,6,5,7,11,9371.0,72.7,34126.0,0.1,2.0,11052.0,"[9, 6, 10, 4, 3, 2]","[13, 8, 7, 14, 15]","[16, 12, 9, 6, 10, 2, 1]"
R,145.4,-80044.6428,85331.6428,586.8751,120.0344,,3,3,6,6,5287.0,145.4,34126.0,0.1,2.0,6009.0,"[6, 3, 2]","[7, 16, 15]","[11, 12, 6, 4, 3, 1]"
R,290.8,-164859.8,168227.8,578.5,120.0343,,2,2,6,4,3368.0,290.8,34126.0,0.1,2.0,4006.0,"[3, 2]","[16, 15]","[11, 12, 6, 4, 3, 1]"
Wcap,0.25x,-40533.1878,43901.1878,603.8678,120.0421,,2,2,7,4,3368.0,72.7,8531.5,0.1,2.0,4006.0,"[3, 2]","[16, 15]","[11, 12, 9, 10, 4, 2, 1]"
Wcap,0.5x,-39286.3679,43822.3679,602.7836,120.0424,,3,3,7,6,4536.0,72.7,17063.0,0.1,2.0,6029.0,"[4, 3, 2]","[8, 5, 15]","[16, 12, 9, 6, 4, 2, 1]"
Wcap,1.0x,-36468.7852,45839.7852,630.5335,120.0461,,6,5,7,11,9371.0,72.7,34126.0,0.1,2.0,11052.0,"[9, 6, 10, 4, 3, 2]","[13, 8, 7, 14, 15]","[16, 12, 9, 6, 10, 2, 1]"
Wcap,2.0x,-32900.0741,44843.0741,616.8236,120.0378,,9,6,6,15,11943.0,72.7,68252.0,0.1,2.0,15068.0,"[11, 13, 12, 6, 10, 5, 4, 3, 2]","[14, 9, 8, 7, 16, 15]","[11, 12, 6, 4, 3, 1]"
Wcap,4.0x,-31031.32,42974.32,591.1186,120.0374,,9,6,6,15,11943.0,72.7,136504.0,0.1,2.0,15068.0,"[11, 13, 12, 6, 10, 5, 4, 3, 2]","[14, 9, 8, 7, 16, 15]","[11, 12, 6, 4, 3, 1]"
vmin,0.05,-36755.2538,45219.2538,621.998,120.0349,,6,4,6,10,8464.0,72.7,34126.0,0.05,2.0,10036.0,"[13, 6, 10, 4, 3, 2]","[8, 7, 16, 15]","[11, 12, 6, 4, 2, 1]"
vmin,0.1,-36468.7852,45839.7852,630.5335,120.0437,,6,5,7,11,9371.0,72.7,34126.0,0.1,2.0,11052.0,"[9, 6, 10, 4, 3, 2]","[13, 8, 7, 14, 15]","[16, 12, 9, 6, 10, 2, 1]"
vmin,0.25,-35421.1117,46047.1117,633.3853,120.0462,,7,6,7,13,10626.0,72.7,34126.0,0.25,2.0,13062.0,"[12, 9, 6, 10, 4, 3, 2]","[14, 13, 7, 8, 5, 15]","[16, 12, 9, 6, 4, 2, 1]"
vmin,0.5,-33351.4733,44792.4733,616.1276,120.056,,8,6,7,14,11441.0,72.7,34126.0,0.5,2.0,14064.0,"[16, 12, 9, 6, 10, 4, 3, 2]","[14, 13, 7, 8, 5, 15]","[16, 12, 9, 6, 4, 3, 1]"
vmin,0.9,-30372.9917,42315.9917,582.0632,120.0365,,9,6,6,15,11943.0,72.7,34126.0,0.9,2.0,15068.0,"[11, 13, 12, 6, 10, 5, 4, 3, 2]","[14, 9, 8, 7, 16, 15]","[11, 12, 6, 4, 3, 1]"
vDfact,0.5,-49651.9369,56074.9369,771.3196,120.0123,,7,1,1,8,6423.0,72.7,34126.0,0.1,0.5,8028.0,"[7, 6, 10, 5, 4, 3, 2]",[15],[1]
