param,value,objective,rental,arrival,time_s,gap_%,n_truck,n_drone,n_rendv,n_items,profit,R,Wcap,vmin,vD,W_final,truck_node_ids,drone_node_ids,rendezvous_node_ids
baseline,-,-33808.6884,58929.6884,810.5872,450.0155,,15,13,13,28,25121.0,72.7,68251.0,0.1,2.0,28128.0,"[30, 6, 7, 8, 11, 15, 14, 13, 19, 21, 22, 23, 25, 28, 27]","[2, 5, 4, 9, 12, 10, 16, 20, 18, 24, 26, 31, 29]","[3, 30, 17, 8, 11, 19, 21, 22, 23, 25, 28, 27, 1]"
R,1.0,25553.9562,838.0438,838.0438,450.8526,,18,12,12,30,26392.0,1.0,68251.0,0.1,2.0,30140.0,"[3, 4, 5, 7, 17, 8, 11, 15, 14, 13, 19, 21, 20, 23, 25, 28, 31, 2]","[6, 9, 10, 12, 16, 18, 22, 24, 29, 26, 30, 27]","[17, 8, 11, 13, 19, 21, 20, 23, 25, 28, 2, 1]"
R,18.18,11173.3239,15218.6761,837.1109,450.0129,,16,14,14,30,26392.0,18.18,68251.0,0.1,2.0,30140.0,"[30, 6, 17, 8, 11, 15, 14, 13, 19, 21, 20, 23, 25, 28, 27, 2]","[7, 5, 4, 9, 10, 12, 16, 22, 18, 24, 26, 29, 31, 3]","[30, 17, 8, 11, 14, 19, 21, 20, 23, 25, 28, 27, 2, 1]"
R,36.35,-4514.2624,30906.2624,850.2411,450.0149,,17,13,13,30,26392.0,36.35,68251.0,0.1,2.0,30140.0,"[30, 6, 7, 17, 8, 10, 11, 15, 14, 19, 21, 20, 23, 25, 28, 27, 2]","[5, 4, 16, 9, 13, 12, 18, 22, 26, 24, 29, 31, 3]","[30, 17, 10, 11, 14, 19, 21, 20, 23, 28, 27, 2, 1]"
R,72.7,-33808.6884,58929.6884,810.5872,450.0154,,15,13,13,28,25121.0,72.7,68251.0,0.1,2.0,28128.0,"[30, 6, 7, 8, 11, 15, 14, 13, 19, 21, 22, 23, 25, 28, 27]","[2, 5, 4, 9, 12, 10, 16, 20, 18, 24, 26, 31, 29]","[3, 30, 17, 8, 11, 19, 21, 22, 23, 25, 28, 27, 1]"
R,145.4,-91244.251,107722.251,740.8683,450.4272,,11,7,12,18,16478.0,145.4,68251.0,0.1,2.0,18077.0,"[11, 15, 14, 19, 21, 20, 23, 25, 28, 31, 2]","[13, 16, 22, 24, 26, 29, 27]","[30, 7, 8, 10, 11, 14, 19, 20, 23, 28, 31, 1]"
R,290.8,-199078.8417,209962.8417,722.018,450.0151,,7,5,13,12,10884.0,290.8,68251.0,0.1,2.0,12051.0,"[21, 22, 23, 25, 28, 31, 2]","[24, 29, 26, 27, 3]","[30, 7, 8, 10, 11, 14, 19, 22, 23, 25, 28, 31, 1]"
Wcap,0.25x,-45889.8718,54341.8718,747.481,450.444,,5,4,11,9,8452.0,72.7,17062.75,0.1,2.0,9039.0,"[23, 25, 28, 31, 2]","[26, 24, 29, 27]","[30, 7, 8, 10, 11, 14, 19, 23, 28, 2, 1]"
Wcap,0.5x,-41903.0526,56402.0526,775.8192,450.8215,,10,6,12,16,14499.0,72.7,34125.5,0.1,2.0,16070.0,"[13, 19, 21, 20, 22, 23, 25, 28, 27, 2]","[16, 18, 24, 26, 29, 31]","[30, 5, 7, 8, 11, 13, 20, 23, 28, 27, 2, 1]"
Wcap,1.0x,-35081.3565,60860.3565,837.1438,450.0188,,16,13,13,29,25779.0,72.7,68251.0,0.1,2.0,29134.0,"[30, 6, 7, 17, 8, 11, 15, 14, 13, 19, 21, 20, 23, 25, 28, 2]","[4, 5, 18, 9, 12, 10, 16, 22, 29, 24, 26, 31, 27]","[6, 17, 8, 11, 14, 19, 21, 20, 23, 25, 28, 2, 1]"
