param,value,objective,rental,arrival,time_s,gap_%,n_truck,n_drone,n_rendv,n_items,profit,R,Wcap,vmin,vD,W_final,truck_node_ids,drone_node_ids,rendezvous_node_ids
baseline,-,-37643.0869,42484.0869,584.3753,30.0034,,3,2,5,5,4841.0,72.7,22750.0,0.1,2.0,5011.0,"[4, 11, 10]","[6, 9]","[7, 2, 4, 11, 1]"
R,1.0,8233.7667,662.2333,662.2333,30.0033,,5,5,5,10,8896.0,1.0,22750.0,0.1,2.0,10028.0,"[4, 2, 7, 11, 10]","[6, 5, 3, 8, 9]","[4, 2, 7, 10, 1]"
R,18.18,-3143.4005,12039.4005,662.2333,30.0033,,5,5,5,10,8896.0,18.18,22750.0,0.1,2.0,10028.0,"[4, 2, 7, 11, 10]","[6, 5, 3, 8, 9]","[4, 2, 7, 10, 1]"
R,36.35,-15176.1787,24072.1787,662.2333,30.0032,,5,5,5,10,8896.0,36.35,22750.0,0.1,2.0,10028.0,"[4, 2, 7, 11, 10]","[6, 5, 3, 8, 9]","[4, 2, 7, 10, 1]"
R,72.7,-37643.0869,42484.0869,584.3753,30.0032,,3,2,5,5,4841.0,72.7,22750.0,0.1,2.0,5011.0,"[4, 11, 10]","[6, 9]","[7, 2, 4, 11, 1]"
R,145.4,-79280.1699,83181.1699,572.0851,30.0032,,2,2,5,4,3901.0,145.4,22750.0,0.1,2.0,4009.0,"[11, 10]","[6, 9]","[7, 2, 4, 11, 1]"
R,290.8,-162101.0993,164066.0993,564.1888,30.0032,,1,1,5,2,1965.0,290.8,22750.0,0.1,2.0,2003.0,[10],[9],"[7, 2, 4, 11, 1]"
Wcap,0.25x,-39404.75,42347.75,582.5,30.0032,,1,2,5,3,2943.0,72.7,5687.5,0.1,2.0,3005.0,[10],"[6, 9]","[7, 2, 4, 10, 1]"
Wcap,0.5x,-38567.5272,42468.5272,584.1613,30.0032,,2,2,5,4,3901.0,72.7,11375.0,0.1,2.0,4009.0,"[11, 10]","[6, 9]","[7, 2, 4, 11, 1]"
Wcap,1.0x,-37643.0869,42484.0869,584.3753,30.0033,,3,2,5,5,4841.0,72.7,22750.0,0.1,2.0,5011.0,"[4, 11, 10]","[6, 9]","[7, 2, 4, 11, 1]"
Wcap,2.0x,-35552.9975,43790.9975,602.3521,30.0033,,4,5,5,9,8238.0,72.7,45500.0,0.1,2.0,9022.0,"[2, 4, 11, 10]","[8, 3, 5, 6, 9]","[7, 2, 4, 11, 1]"
Wcap,4.0x,-33610.0936,42506.0936,584.678,30.0033,,5,5,5,10,8896.0,72.7,91000.0,0.1,2.0,10028.0,"[10, 11, 4, 2, 7]","[9, 6, 5, 3, 8]","[11, 4, 2, 7, 1]"
vmin,0.05,-37733.0022,41634.0022,572.6823,30.0032,,2,2,5,4,3901.0,72.7,22750.0,0.05,2.0,4009.0,"[11, 10]","[6, 9]","[7, 2, 4, 11, 1]"
vmin,0.1,-37643.0869,42484.0869,584.3753,30.0033,,3,2,5,5,4841.0,72.7,22750.0,0.1,2.0,5011.0,"[4, 11, 10]","[6, 9]","[7, 2, 4, 11, 1]"
vmin,0.25,-37279.0008,43106.0008,592.9299,30.0032,,4,2,5,6,5827.0,72.7,22750.0,0.25,2.0,6013.0,"[2, 4, 11, 10]","[6, 9]","[7, 2, 4, 11, 1]"
vmin,0.5,-35955.9463,44851.9463,616.9456,30.0033,,5,5,5,10,8896.0,72.7,22750.0,0.5,2.0,10028.0,"[4, 2, 7, 11, 10]","[6, 5, 3, 8, 9]","[4, 2, 7, 11, 1]"
vmin,0.9,-32416.1152,41312.1152,568.2547,30.0033,,5,5,5,10,8896.0,72.7,22750.0,0.9,2.0,10028.0,"[10, 11, 4, 2, 7]","[9, 6, 5, 3, 8]","[11, 4, 2, 7, 1]"
vDfact,0.5,-50373.0582,54027.0582,743.1507,30.003,,3,1,1,4,3654.0,72.7,22750.0,0.1,0.5,4011.0,"[8, 11, 10]",[9],[1]
vDfact,1.0,-45579.6434,51945.6434,714.5205,30.0034,,4,3,3,7,6366.0,72.7,22750.0,0.1,1.0,7016.0,"[4, 8, 11, 10]","[5, 6, 9]","[4, 11, 1]"
vDfact,2.0,-37643.0869,42484.0869,584.3753,30.0032,,3,2,5,5,4841.0,72.7,22750.0,0.1,2.0,5011.0,"[4, 11, 10]","[6, 9]","[7, 2, 4, 11, 1]"
vDfact,3.0,-36223.6224,41649.6224,572.8971,30.0033,,3,3,5,6,5426.0,72.7,22750.0,0.1,3.0,6014.0,"[8, 11, 10]","[5, 6, 9]","[7, 2, 8, 10, 1]"
vDfact,4.0,-32900.2917,39194.2917,539.1237,30.0038,,3,4,5,7,6294.0,72.7,22750.0,0.1,4.0,7016.0,"[8, 9, 10]","[6, 5, 3, 4]","[11, 7, 8, 9, 1]"
