n,instance,MILP_best,MILP_avg,MILP_time_s,SA_best,SA_avg,SA_time_s,VNS_best,VNS_avg,VNS_time_s,MLP_best,MLP_avg,MLP_time_s,GAT_best,GAT_avg,GAT_time_s,MILP_gap_vs_BKS_%,SA_gap_vs_BKS_%,VNS_gap_vs_BKS_%,MLP_gap_vs_BKS_%,GAT_gap_vs_BKS_%,BKS,best_method,LISA_best,LISA_avg,LISA_gap_vs_BKS_%
30,bench_30_3,,,,-37664.79,-38924.21,450.85,-39922.89,-43366.47,450.06,-40794.67,-40794.67,24.0,-41597.49,-41597.49,23.1,,0.0,6.0,8.31,10.44,-37664.79,SA,-40488.6,-40488.6,7.497
30,bench_30_4,,,,-37021.43,-37539.35,450.05,-39606.06,-40853.56,450.09,-40725.21,-40725.21,26.1,-39732.4,-39732.4,23.6,,0.0,6.98,10.0,7.32,-37021.43,SA,-37644.6,-37644.6,1.683
30,mean,-,-,-,-37710.03,-38516.49,450.645,-39658.045,-42262.2775,450.0925,-43449.6075,-43449.6075,25.55,-42047.47,-42047.47,23.125,-,0.0,5.1375,15.09,11.4825,-37710.03,-,-38814.775,-38814.775,2.9377
40,bench_40_1,,,,-38852.32,-39771.93,600.06,-46490.91,-54457.01,600.09,-46854.95,-46854.95,60.1,-46374.83,-46374.83,50.6,,0.0,19.66,20.6,19.36,-38852.32,SA,-37294.8,-37294.8,-4.009
40,bench_40_2,,,,-39658.39,-42016.18,600.06,-47731.02,-50733.88,600.12,-52105.05,-52105.05,57.1,-47439.18,-47439.18,50.3,,0.0,20.36,31.38,19.62,-39658.39,SA,-42491.5,-42491.5,7.144
40,bench_40_3,,,,-36491.24,-37650.77,600.06,-42219.22,-45043.98,600.21,-39890.57,-39890.57,53.8,-39480.88,-39480.88,51.5,,0.0,15.7,9.32,8.19,-36491.24,SA,-37485.7,-37485.7,2.725
40,bench_40_4,,,,-34242.56,-34786.16,600.38,-38835.47,-43182.56,600.11,-42427.23,-42427.23,60.4,-39572.36,-39572.36,50.2,,0.0,13.41,23.9,15.56,-34242.56,SA,-34307.9,-34307.9,0.191
40,mean,-,-,-,-37311.1275,-38556.26,600.14,-43819.155,-48354.3575,600.1325,-45319.45,-45319.45,57.85,-43216.8125,-43216.8125,50.65,-,0.0,17.2825,21.3,15.6825,-37311.1275,-,-37894.975,-37894.975,1.5128
50,bench_50_1,,,,-35221.78,-36235.18,750.1,-43596.29,-46720.84,750.28,-41058.6,-41058.6,40.1,-39315.06,-39315.06,42.2,,0.0,23.78,16.57,11.62,-35221.78,SA,-36734.3,-36734.3,4.294
50,bench_50_2,,,,-37492.62,-39198.21,750.12,-47867.75,-57012.24,750.39,-47223.92,-47223.92,42.6,-43759.97,-43759.97,41.9,,0.0,27.67,25.96,16.72,-37492.62,SA,-37492.6,-37492.6,0.0
