method,n,seed,instance,status,objective,gap_%,time_s,n_items,n_truck,n_drone,n_rendv,profit,rental,arrival,W_final,W_capacity,W_actual,n_nodes_explored,build_s,solve_s,collected_node_ids,truck_node_ids,drone_node_ids,rendezvous_node_ids,truck_route_node_ids,drone_arc_node_ids,W_sequence
MILP,15,2,bench_15_2,TimeLimit,-40252.19,18.95,86400.076,12,2,6,4,9559.0,49811.19,685.1608,12055.0,34126.0,15070.0,5656002,0.042,86400.034,"[2, 3, 4, 5, 6, 7, 8, 9, 11, 14, 15, 16]","[9, 16]","[3, 4, 5, 6, 11, 14]","[2, 7, 8, 15]","[1, 13, 10, 7, 8, 9, 2, 15, 16, 1]","[(1, 12), (2, 3), (3, 15), (4, 7), (5, 2), (6, 8), (7, 6), (8, 5), (10, 4), (11, 10), (12, 13), (13, 11), (14, 1), (15, 14)]","[(1, 0.0), (13, 0.0), (10, 1006.0), (7, 3015.0), (8, 5016.0), (9, 6018.0), (2, 8035.0), (15, 10049.0), (16, 11049.0), (1, 12055.0)]"
MILP,15,3,bench_15_3,Optimal,-36302.64,0.01,54561.296,13,4,5,4,10924.0,47226.64,649.6099,13079.0,34126.0,15084.0,6401460,0.042,54561.254,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16]","[8, 9, 13, 14]","[4, 5, 6, 10, 12]","[3, 7, 11, 16]","[1, 2, 9, 3, 8, 7, 11, 14, 13, 16, 1]","[(1, 15), (2, 5), (3, 4), (4, 7), (5, 3), (6, 11), (7, 6), (10, 16), (11, 10), (12, 1), (15, 2), (16, 12)]","[(1, 0.0), (2, 0.0), (9, 1008.0), (3, 3021.0), (8, 4027.0), (7, 6044.0), (11, 8056.0), (14, 9064.0), (13, 10072.0), (16, 12079.0), (1, 13079.0)]"
MILP,15,4,bench_15_4,TimeLimit,-34573.83,4.69,86400.212,14,2,6,6,12484.0,47057.83,647.2879,14061.0,34126.0,15068.0,5904765,0.043,86400.169,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[2, 9]","[5, 7, 8, 12, 13, 14]","[3, 4, 10, 11, 15, 16]","[1, 2, 3, 4, 9, 11, 10, 15, 16, 1]","[(1, 6), (3, 5), (4, 7), (5, 4), (6, 3), (7, 11), (8, 10), (10, 12), (11, 8), (12, 15), (13, 16), (14, 1), (15, 13), (16, 14)]","[(1, 0.0), (2, 1005.0), (3, 2008.0), (4, 4017.0), (9, 5020.0), (11, 7021.0), (10, 9034.0), (15, 11043.0), (16, 13054.0), (1, 14061.0)]"
MILP,15,5,bench_15_5,TimeLimit,-33383.14,0.57,86400.049,11,4,4,3,9306.0,42689.14,587.1959,11065.0,34126.0,15075.0,7248126,0.042,86400.007,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 16]","[2, 7, 15, 16]","[3, 4, 5, 6]","[8, 9, 10]","[1, 14, 12, 11, 10, 8, 7, 9, 2, 15, 16, 1]","[(1, 13), (3, 9), (4, 10), (5, 1), (6, 8), (8, 3), (9, 5), (10, 6), (13, 14), (14, 4)]","[(1, 0.0), (14, 0.0), (12, 0.0), (11, 0.0), (10, 2011.0), (8, 4027.0), (7, 5036.0), (9, 7051.0), (2, 8055.0), (15, 9060.0), (16, 10060.0), (1, 11065.0)]"
