n,objective,profit,rental,arrival,W_final,n_items,n_truck,n_drone,n_rendv,wall_s
50,-50374.89953841524,33696.0,84070.89953841522,1156.4085218489026,40180.0,40,18,22,25,164.6
100,-80988.35633455147,67903.0,148891.35633455147,2048.02415865958,80362.0,80,36,44,50,652.2
