method,n,seed,instance,status,objective,gap_%,time_s,n_items,n_truck,n_drone,n_rendv,profit,rental,arrival,W_final,W_capacity,W_actual,n_nodes_explored,build_s,solve_s,collected_node_ids,truck_node_ids,drone_node_ids,rendezvous_node_ids,truck_route_node_ids,drone_arc_node_ids,W_sequence
MILP,20,3,bench_20_3,TimeLimit,-64741.68,77.81,12.084,16,15,1,0,13769.0,78510.68,1079.9268,16086.0,45501.0,20106.0,525,0.072,12.012,"[4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21]","[5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21]",[4],[],"[1, 21, 16, 18, 17, 20, 3, 2, 19, 12, 11, 10, 9, 5, 6, 7, 8, 13, 14, 15, 1]","[(1, 4), (4, 1)]","[(1, 0.0), (21, 1000.0), (16, 2000.0), (18, 3008.0), (17, 4016.0), (20, 5019.0), (3, 5019.0), (2, 5019.0), (19, 6027.0), (12, 6027.0), (11, 7033.0), (10, 8041.0), (9, 9044.0), (5, 10052.0), (6, 11061.0), (7, 11061.0), (8, 12070.0), (13, 13077.0), (14, 14081.0), (15, 15084.0), (1, 16086.0)]"
MILP,20,4,bench_20_4,TimeLimit,-84376.48,79.02,12.093,17,7,4,6,14808.0,99184.48,1364.2982,18087.0,45501.0,20092.0,275,0.071,12.022,"[2, 3, 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]","[6, 12, 13, 14, 17, 18, 20]","[2, 5, 7, 21]","[3, 9, 11, 15, 16, 19]","[1, 20, 12, 14, 13, 17, 18, 19, 16, 15, 11, 3, 6, 8, 9, 1]","[(1, 2), (2, 19), (3, 7), (4, 3), (5, 1), (7, 9), (9, 5), (10, 15), (11, 4), (15, 11), (16, 10), (19, 21), (21, 16)]","[(1, 0.0), (20, 1002.0), (12, 2009.0), (14, 3016.0), (13, 4022.0), (17, 5029.0), (18, 6033.0), (19, 8045.0), (16, 10058.0), (15, 11059.0), (11, 13063.0), (3, 14066.0), (6, 15073.0), (8, 15073.0), (9, 17078.0), (1, 18087.0)]"
