method,n,seed,instance,status,objective,gap_%,time_s,n_items,n_truck,n_drone,n_rendv,profit,rental,arrival,W_final,W_capacity,W_actual,n_nodes_explored,build_s,solve_s,collected_node_ids,truck_node_ids,drone_node_ids,rendezvous_node_ids,truck_route_node_ids,drone_arc_node_ids,W_sequence
MILP,20,5,bench_20_5,TimeLimit,-51744.0,58.77,12.202,16,5,6,5,12606.0,64350.0,885.1445,16078.0,45501.0,20090.0,406,0.182,12.02,"[2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 17, 19, 20, 21]","[12, 13, 15, 17, 21]","[4, 5, 7, 11, 19, 20]","[2, 3, 6, 9, 10]","[1, 21, 18, 17, 13, 16, 15, 14, 9, 8, 6, 10, 12, 3, 2, 1]","[(1, 11), (2, 19), (3, 20), (4, 3), (5, 10), (6, 5), (7, 6), (9, 7), (10, 4), (11, 9), (19, 1), (20, 2)]","[(1, 0.0), (21, 1000.0), (18, 1000.0), (17, 2002.0), (13, 3006.0), (16, 3006.0), (15, 4010.0), (14, 4010.0), (9, 6022.0), (8, 6022.0), (6, 8036.0), (10, 10052.0), (12, 11058.0), (3, 13071.0), (2, 15078.0), (1, 16078.0)]"
MILP,20,5,bench_20_5,TimeLimit,-37703.22,26.44,86401.051,13,2,5,6,10981.0,48684.22,669.6592,13074.0,45501.0,20090.0,10451444,1.01,86400.041,"[2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 18, 20]","[3, 11]","[2, 4, 5, 7, 18]","[6, 9, 10, 12, 14, 20]","[1, 21, 17, 13, 14, 9, 6, 10, 11, 12, 3, 20, 1]","[(1, 19), (2, 20), (4, 12), (5, 10), (6, 5), (7, 6), (8, 9), (9, 7), (10, 4), (12, 2), (13, 15), (14, 8), (15, 14), (16, 13), (17, 16), (18, 1), (19, 17), (20, 18)]","[(1, 0.0), (21, 0.0), (17, 0.0), (13, 0.0), (14, 1004.0), (9, 2009.0), (6, 4023.0), (10, 6039.0), (11, 7046.0), (12, 9061.0), (3, 10065.0), (20, 12072.0), (1, 13074.0)]"
